slot,ip,header_ua,payload_ua,slot_boundary,header_req,payload_req,block_hash,proposer_pubkey
6287363,89.149.218.12,mev-boost/v1.5.0 Lighthouse/v4.1.0-693886b,mev-boost/v1.5.0 Lighthouse/v4.1.0-693886b,2023-04-23 17:52:59.000000,2023-04-23 17:52:59.224636,2023-04-23 17:52:59.508839,0xd8c3792a70a517ee58df86a78d49a28654510038afe973ed34adb92b0ecb8cdc,0x8c9dd8f50a31f51a0525d1a53697716c838c45060bb3bccbb7faa165b9fb3f83647521b4007c6da71e0139f0e995c4f6
6287371,57.128.32.19,mev-boost/v1.5.0,mev-boost/v1.5.0,2023-04-23 17:54:35.000000,2023-04-23 17:54:35.214206,2023-04-23 17:54:35.524251,0xa398751b66f4abe3fc09c244faa35c7d5160492b36b17f4d7dd727dc09af0f3f,0x9076ea0749534137aa85a41bedd3e55a008d8e8a00eb7535fa7bbc9ba85bc8029d4205632297c4dce802a5e67c517c87
6287375,158.140.135.239,mev-boost/v1.5.0 Prysm/v4.0.3/f4681fde1946a86c5d33c389564241c7ca0e9c2f,mev-boost/v1.5.0 Prysm/v4.0.3/f4681fde1946a86c5d33c389564241c7ca0e9c2f,2023-04-23 17:55:23.000000,2023-04-23 17:55:23.190772,2023-04-23 17:55:23.986769,0x17518a7788f5683c516e1bffa1bd9c5d2d833e5277303d7d572f150a235f97d1,0xb9845cceda7505b05ad2edfd474805d66bd1ecc4494eb7cc1c7bf7f42093e3067b224e73f10ebb70ec3eceb1b5fe1575
6287378,20.203.252.23,mev-boost/v1.5.0 okhttp/4.10.0,mev-boost/v1.5.0 okhttp/4.10.0,2023-04-23 17:55:59.000000,2023-04-23 17:55:59.122244,2023-04-23 17:55:59.540486,0xb34b74c7fdf4a74110ad4d35ab05da1885564552225804639757bc2a406cb1ca,0x95d75b5910790cb42f7947ab14c679267e8f73be1a773efe161d491e5113ebcbc1a372732180b24e9d2ef3898f26d458
6287380,34.249.7.41,mev-boost/v1.5.0 Prysm/v4.0.2/f4681fde1946a86c5d33c389564241c7ca0e9c2f,mev-boost/v1.5.0 Prysm/v4.0.2/f4681fde1946a86c5d33c389564241c7ca0e9c2f,2023-04-23 17:56:23.000000,2023-04-23 17:56:23.347438,2023-04-23 17:56:23.565121,0x5b0dbb355fcdce011e2624312aa4420fe951a69f2509c243944ea681af5361b6,0x971860fbd43fff1cb91ac0a35bc4c7efd6de0b12331ef253d0ee33b0fa55daa8a7e373db3d4df322fdf56236ebd7abb9
6287382,13.53.115.67,mev-boost/v1.5.0,mev-boost/v1.5.0,2023-04-23 17:56:47.000000,2023-04-23 17:56:47.448255,2023-04-23 17:56:47.859318,0xde416e99b0a2860abe555fcdd9af7387ec44dec6f42c9455308d88b0d22de9b4,0xb9048e37e8ca6fae587b63976f1f802d2d3d25938fde9da2d96e33e6d7efada190e51668320027fc9f10dff4bcbdfb1f
6287384,81.178.177.25,mev-boost/v1.5.0 Lighthouse/v4.1.0-693886b,mev-boost/v1.5.0 Lighthouse/v4.1.0-693886b,2023-04-23 17:57:11.000000,2023-04-23 17:57:11.340014,2023-04-23 17:57:11.649772,0xa608f738ff39f0ff5b9ba3a63595af3a90c1ae4041c1e41805f715ce4f58f0ed,0x88f15f7af49c4bc6f809dc233b3eced0bc6caa9a9a39b3eca8ea2552c64451702d9b8a94c4d04b75150b7cb8241d7571
6287390,54.254.209.87,mev-boost/v1.5.0 Lighthouse/v4.1.0-be8231b,mev-boost/v1.5.0 Lighthouse/v4.1.0-be8231b,2023-04-23 17:58:23.000000,2023-04-23 17:58:23.221781,2023-04-23 17:58:24.093135,0xb542e0b53ba2a079fdadab4fe5782805bdeb0deaabd9fd4e2c0ebb8f8bf2d8d2,0x9404ce04563c25e6c0347a8c8627c2e30f0576af98dcad621857fea192430e98ba2cf0c9ddfb207f23326a33d379eed9
6287393,34.209.33.114,mev-boost/v1.5.0 Prysm/v4.0.2/75338dd83d943ed5e13635cd0578c38a3b2d248b,mev-boost/v1.5.0 Prysm/v4.0.2/75338dd83d943ed5e13635cd0578c38a3b2d248b,2023-04-23 17:58:59.000000,2023-04-23 17:58:59.220136,2023-04-23 17:58:59.813658,0x27bea42b869ce09662d5532e45c8cafe2de45c1b67a223cec173d9da7d216bdd,0xb3fcb9cf20bf86a1667ea9b36ec38e92d739fa9b4c3d531f606e50d342bbff66f14d6c91b3f8a092d651a6aa7a67dbd1
6287400,46.20.245.51,mev-boost/v1.5.0 Lighthouse/v4.1.0-693886b,mev-boost/v1.5.0 Lighthouse/v4.1.0-693886b,2023-04-23 18:00:23.000000,2023-04-23 18:00:23.738771,2023-04-23 18:00:24.241129,0x4aee717a810dce7526f9fde5122cfdeea2221a96db037156808e4c023482260b,0x85310f9ca264df24124632e86f9a249926e8ee49cb387012ec773b163d80eb956ce1feda0523ede562b07a2d259bfeb6
