substring|decode_duration|pg_column_size
0xacea6a|326|6895
0xb67a51|245|7074
0xacea6a|241|7353
0xaa1488|70089|23713
0xaa1488|53869|23878
0xb67a51|15031|23887
0xaa1488|645|24256
0xaa1488|668|25011
0xaa1488|1125|25187
0xaa1488|809|25372
0xb67a51|42694|11856
0xacea6a|5952|11821
0xb67a51|23151|14729
0xacea6a|52150|14729
0xb67a51|21655|15157
0xb67a51|27053|17200
0xacea6a|27779|17179
0xb67a51|27728|17927
0xacea6a|66574|18069
0xb67a51|11716|19171
0xb67a51|32198|20082
0xacea6a|43743|19798
0xb67a51|15779|22149
0xacea6a|69349|20696
0xb67a51|38230|22532
0xb67a51|49907|23385
0xacea6a|125055|23340
0xb67a51|822|23523
0xaa1488|683|24054
0xb67a51|191512|24453
0xacea6a|200901|23841
0xaa1488|197875|387950
0xb67a51|89571|157485
0xaa1488|96009|157803
0xb67a51|139965|81539
0xacea6a|118912|84413
0xb67a51|91621|85201
0xaa1488|85342|85411
0xaa1488|75955|86216
0xaa1488|700|24420
0xacea6a|101016|25158
0xb67a51|45863|21892
0xb67a51|25529|22664
0xacea6a|42205|22640
0xb67a51|34026|23043
0xacea6a|71941|23061
0xacea6a|9460|19543
0xb67a51|10532|19863
0xacea6a|18373|20321
0xaa1488|688|24646
0xb67a51|1199|24829
0xb67a51|93726|25198
0xaa1488|838|25877
0xaa1488|204594|288474
0xb67a51|105412|291165
0xb67a51|100822|111342
0xb67a51|115166|124596
0xacea6a|126321|125138
0xb67a51|110344|129529
0xaa1488|686|25579
0xb67a51|90918|25532
0xacea6a|216|3284
0xacea6a|213|4126
0xacea6a|231|4302
0xacea6a|9574|17102
0xacea6a|4403|18653
0xb67a51|33756|20183
0xb67a51|8338|20548
0xacea6a|7100|20727
0xaa1488|759|25717
0xaa1488|102673|131661
0xacea6a|199472|131148
0xacea6a|14218|17802
0xb67a51|17698|18222
0xacea6a|7800|19026
0xb67a51|10460|19066
0xb67a51|10820|20031
0xacea6a|8760|19026
0xb67a51|11964|22199
0xb67a51|5125|21332
0xacea6a|19191|19853
0xb67a51|11825|20255
0xb67a51|11909|20670
0xacea6a|28644|20638
0xacea6a|41469|20638
0xacea6a|44558|21668
0xb67a51|30553|23467
0xaa1488|2856|24445
0xaa1488|480|24740
0xb67a51|31179|24945
0xaa1488|819|25134
0xacea6a|28936|24573
0xacea6a|38828|24904
0xaa1488|1191|25433
0xaa1488|862|26962
0xb67a51|57259|26796
0xacea6a|30670|26445
0xb67a51|12987|28422
0xaa1488|1520|29047
0xacea6a|41012|28831
0xb67a51|741|28851
0xaa1488|3477|29446
0xb67a51|15304|29251
0xacea6a|160|4959
0xb67a51|136|4877
0xacea6a|174|4538
0xb67a51|260|5087
0xb67a51|216|5385
0xacea6a|213|5053
0xb67a51|237|6491
0xacea6a|239|6175
0xb67a51|12205|11064
0xacea6a|5875|13449
0xb67a51|11788|18799
0xb67a51|11629|19568
0xb67a51|12370|27105
0xb67a51|13505|28361
0xacea6a|19383|28473
0xb67a51|35263|28499
0xb67a51|8027|21352
0xacea6a|10296|21659
0xb67a51|13110|24764
0xb67a51|11131|25126
0xacea6a|15307|25093
0xb67a51|28281|25888
0xacea6a|17132|26317
0xb67a51|8989|26518
0xacea6a|18397|26712
0xaa1488|80609|54990
0xacea6a|27119|28636
0xb67a51|30405|28903
0xb67a51|28624|29176
0xaa1488|3805|29381
0xacea6a|19391|29160
0xaa1488|80345|54452
0xaa1488|79977|54614
0xb67a51|94299|54419
0xaa1488|81390|54844
0xacea6a|120996|54627
0xb67a51|108756|54806
0xaa1488|80616|55289
0xaa1488|81140|55437
0xb67a51|94824|55248
0xacea6a|121304|55202
