decode_duration|pg_column_size
12218|24242
17241|25691
1044|29926
1385|30374
2574|30512
1085|30578
5098|30616
81636|31216
77590|31698
92081|31744
81793|30175
89627|30638
129044|30387
91760|31186
104595|31040
80401|33761
94892|58189
128815|33701
98644|58383
114169|58542
133424|58351
93903|58604
82324|58775
82950|59033
81645|58850
132397|58830
121353|58830
85278|59947
83631|60273
105271|61766
112313|61947
83395|62212
111622|61751
95941|62661
83492|63158
84977|63730
97569|63536
113857|63489
12296|9757
22543|11148
2973|11907
8716|12176
9197|13032
17677|12677
10642|13571
12587|21540
11681|21681
11643|21867
14250|22050
9202|22969
6837|22858
10891|23719
4190|23922
9398|24426
10545|24604
30777|24474
10869|25366
19102|25273
10839|25838
10776|28206
19463|26631
11279|28512
8533|29059
11675|29365
10900|29876
1360|30165
1709|30090
89502|30706
948|30865
116496|32190
81971|32003
90151|32201
82295|32424
84868|32696
82278|32633
82808|32916
113774|32706
82512|33109
91357|32819
82234|33608
90259|32431
157|3207
262|4939
14572|3911
315|5098
35712|10915
40123|12063
18247|12719
42989|12509
15257|13051
84419|42508
96391|42230
114059|41787
7282|2741
221|2672
14733|3187
297721|31521
80124|32589
94217|32412
82481|33360
42942|12663
16425|14067
57680|15279
7479|15958
7968|16783
64764|16748
70673|25094
66586|25401
273532|25331
108130|26059
149232|26014
36819|26925
75847|27524
167275|27162
102935|28116
207415|27490
19916|28691
4587|29114
3288|29364
13676|29176
166834|28679
2755|30156
80440|31133
89605|30953
81418|31722
82368|32062
81110|32364
92326|32175
92427|34802
130032|96439
282497|32401
74259|35004
34946|35252
337586|36223
108081|41560
104329|42870
208033|42808
115205|43384
115455|43536
205556|43452
108794|43710
116013|43997
336113|43778
114017|44510
113298|45183
193803|44839
112575|92063
148834|93422
362296|93041
149164|93602
149956|93738
354577|93514
145370|93905
113697|95211
505497|94716
144581|100138
92859|100561
90440|100748
118286|100545
90641|100910
115267|97246
156954|97390
364534|97318
144298|99808
133294|100190
88188|101356
263231|100940
181|2606
177|3495
157|3610
126114|100704
327728|100631
92157|101053
118442|100844
93805|101200
133953|101142
52696|22800
12068|22980
783|23845
929|24034
181|4253
242|5536
232|5779
19004|11666
46271|11815
19072|13813
11180|13992
52076|13789
8463|15396
58533|15378
6488|15898
59200|16043
10952|16668
38022|19472
68279|19441
10336|20239
73728|20460
8928|20928
42738|22423
88072|21834
58960|22632
31217|22871
32939|23753
54311|23094
71673|24436
799|25685
125082|24953
18607|25487
3566|26019
16386|25824
76955|25814
16026|26134
3227|26314
1980|26666
2466|26908
59305|26500
20603|26720
2292|31253
82656|44600
122609|44419
61437|31024
81794|45038
83404|45241
118833|45054
83993|45453
163388|45230
162|2559
175|2886
244|3125
207|3864
410|4924
434|4888
295|6037
20745|18544
21444|18817
15104|18769
7147|19170
3221|20149
42853|20101
42662|20462
24291|21067
7796|24955
51716|24907
8312|25673
43370|25625
11531|26915
49220|27500
8650|27907
8051|21352
39259|21322
10366|21745
39941|21907
10542|22102
1678|22869
12467|22660
27983|22626
12096|22824
1958|23034
739|23151
32561|31983
13954|23846
31412|23802
1034|24179
2849|24371
25432|58642
5688|59188
82396|58953
3090|59547
33719|59360
298|5494
366|5724
186|5494
15926|6672
14863|8147
10812|9185
7158|10544
37522|10061
10499|15674
23823|12038
11363|16732
13282|17694
28482|17519
20136|22555
36748|18425
14971|23587
17362|23784
78084|23723
15478|26178
76785|26379
20639|26584
23948|27051
45411|27146
23158|29887
41981|29836
28331|30032
10791|30180
51863|30296
32925|31114
70373|31248
142321|32642
9382|32147
5718|32365
56833|32123
74295|32511
90563|32313
79984|32717
93216|32666
80320|32882
99008|33224
80997|33614
80474|33275
90816|33075
82832|33440
134538|33192
147648|114663
90524|114858
90085|115372
140740|115418
101029|64579
115174|75620
500|3410
246|3757
169|3722
272|4204
10152|5279
19174|6259
20425|11322
17937|11121
3197|11669
136321|66712
95515|69438
102799|88331
142804|88970
105644|99969
158047|89886
197124|111839
193406|115130
108000|118415
174663|115884
125650|118846
175733|118367
139868|119905
177178|119857
118755|121988
125055|122609
85347|123223
181805|121940
84790|123780
88582|148357
144672|148985
90373|149172
86162|114011
133497|113835
204444|113482
73551|114345
89702|114681
146663|114457
193421|114434
91903|115620
87958|119685
176740|119438
124849|119467
16292|10689
21344|10728
12481|11382
9219|11626
8290|12794
9018|12194
11480|13586
15233|14871
12259|14915
27916|16830
20508|34070
89009|45276
130039|54507
98185|55319
130515|55281
91985|202066
99796|165931
92181|166095
148850|76421
92953|77572
113938|82532
166904|79062
134600|199259
140448|199618
179817|82642
136971|201157
94775|201344
96509|201703
193197|201468
125753|201516
308003|383453
200427|379691
