read_header_duration|read_duration|decode_duration|cache_read_duration|randao_lock_2_duration|simulation_duration|redis_update_duration|submission_duration|optimistic_submission
57|255205|1655|420|5051|13|12004|274372|t
94|252915|1538|273|2489|14|7569|264826|t
77|258543|1380|321|2400|15|8539|271218|t
89|253895|1982|408|2509|14|8287|267115|t
37454|371602|2305|321|2685|15|8823|385800|t
61|200126|1962|249|2191|14|11921|216490|t
39|170775|2552|363|2755|16|9916|186403|t
37167|353476|2446|290|2446|16|10385|369079|t
56|246317|2810|416|2496|26|9701|261789|t
37|313191|2531|493|2234|12|9073|327557|t
81|124374|2640|348|2932|17|10956|141286|t
37694|373552|2734|392|2500|15|10386|389601|t
55|240960|2836|347|2771|19|9980|256934|t
58|210135|1934|335|2820|6|10619|225874|t
60|251125|3335|337|2821|33|12095|269767|t
49|238795|30855|256|2525|15|12186|284652|t
74|269507|2787|382|2497|16|11510|286721|t
61|227834|3717|267|88411|12|211597|531866|t
95|104591|4610|1233|90878|12|107548|308894|t
66|260357|3568|369|2508|26|35333|302183|t
5857|222832|2471|272|2222|23|11142|238982|t
86|135882|3429|314|2749|14|11505|153915|t
260|92966|3429|348|3206|75100|12305|187379|f
57|194697|2343|394|2210|17|48774|248456|t
82|91270|2948|1267|3081|95583|15448|209623|f
57|13253|2491|220|2562|92045|9249|119839|f
59|95576|4448|286|2884|92577|11862|207655|f
63|142297|2916|288|2273|11|36617|184425|t
60|100585|4704|382|48030|95774|13032|262531|f
46|125302|3843|331|2806|22|105355|237685|t
106|95804|4004|414|3461|142851|101507|348066|f
51|92094|3460|794|2474|78908|25004|202755|f
59|89762|2336|212|2961|85792|13785|194865|f
34|149139|4249|416|2605|13|47892|204334|t
3612|194136|3525|262|1929|14|84091|283972|t
73|100944|4051|325|2476|149946|13391|271153|f
43|127930|4312|302|68403|21|11955|212946|t
79|100999|4214|360|2432|91350|11248|210627|f
84|199780|4306|307|2714|15|12463|219609|t
50|96774|6770|447|4863|105657|48250|262782|f
61|302079|9106|6721|82917|10|15498|416357|t
57|128052|10199|247|80884|111633|190732|521764|f
309|105916|793|353|2550|14|6819|116466|t
48|107803|520|422|2489|19|6094|117367|t
12968|97964|636|439|2307|26|6337|107733|t
55|104082|625|381|2300|14|6838|114268|t
49|82631|972|486|3215|5|6294|93629|t
4057|213532|5677|552|3923|8|48818|272534|t
70|109280|1329|1400|3448|10|7337|122823|t
65|119978|1656|334|2458|14|7652|132111|t
53|101533|1181|348|2451|16|7920|113469|t
55|120637|1628|320|2498|9|7388|132501|t
