read_header_duration|read_duration|decode_duration|cache_read_duration|randao_lock_2_duration|simulation_duration|redis_update_duration|submission_duration|optimistic_submission
63|0|152688|432|3420|6|11405|167975|t
63|0|110645|362|2500|95573|16416|225515|f
114|0|102331|438|2619|14|13649|119074|t
83|0|158982|381|2447|15|16792|178640|t
90|0|194945|460|2632|15|11199|209275|t
60|0|151890|1137|3114|18|10941|167124|t
54|0|315426|453|2521|16|10982|329421|t
129|0|208933|439|2286|14|10078|221776|t
70|0|343418|479|2641|25|10155|356743|t
57|0|231598|402|2671|16|18932|253644|t
77|0|132413|431|3373|11|11458|147707|t
53|0|365886|470|2398|16|12719|381517|t
68|0|125529|427|2375|15|12390|140759|t
55|0|179715|457|3220|7|11824|195260|t
54|0|131995|485|3220|5|12946|148678|t
47|0|168145|147351|3347|20|13803|332712|t
45|0|126215|403|2677|16|12105|141439|t
77|0|141791|359|2701|33|11592|156497|t
110|0|240919|411|2238|8|12695|256295|t
56|0|142653|340|2316|9|12636|157974|t
52|0|215188|363|2748|15|17896|236241|t
82|0|143103|485|4156|18|19906|167695|t
134|0|121410|384|4344|9|68984|195156|t
102|0|141114|353|2869|17|12846|157222|t
83|0|140114|404|2510|18|10824|153898|t
75|0|133620|492|2796|20|12648|149600|t
146|0|353833|812|2854|17|21000|378538|t
69|0|125707|407|2446|23|13597|142234|t
66|0|143468|481|2231|26|12073|158298|t
91|0|128745|398|2588|14|12690|144456|t
82|0|145275|384|2517|39|13508|161765|t
71|0|130981|442|2558|14|11798|145859|t
86|0|146121|414|2703|17|13239|162531|t
79|0|167212|515|3311|23|13966|185058|t
93|0|170921|405|6272|21|15511|193155|t
84|0|168766|462|2796|26|14480|186576|t
63|0|165691|636|2626|90109|11987|271070|f
105|0|137945|400|2606|17|11405|152400|t
412|0|114069|379|2511|95059|12639|224694|f
65|0|189325|404|2848|21|12703|205323|t
67|0|112716|378|2703|103501|33553|252902|f
72|0|126000|415|15979|16|13353|155787|t
60|0|109526|392|2341|87441|66543|266264|f
62|0|112680|466|2321|104774|11869|232134|f
38|0|162228|291|2462|7|13573|178579|t
1666|0|3651|285|2790|23|6086|12860|t
43|0|1688|266|2519|18|4510|9021|t
38|0|1186|409|2461|16|5686|9777|t
80|0|1725|408|2510|19|5788|10472|t
10834|0|11529|371|2556|15|5366|19860|t
46|0|1275|291|2554|14|6023|10177|t
80|0|1824|358|4000|11|6768|13006|t
73|0|1540|337|4092|34|7500|13525|t
42|0|3726|403|7370|18|6060|17598|t
105|0|3359|405|2310|11|6988|13128|t
72|0|11789|326|2441|6|5970|20553|t
81|0|6643|526|2848|7|6768|16826|t
102|0|11932|419|2570|22|6284|21256|t
46|0|5339|415|2559|30|6258|14618|t
41|0|7192|456|2593|15|6524|16815|t
51|0|9545|471|2525|15|7448|20028|t
52|0|15370|1257|3431|7|7267|27350|t
69|0|8795|476|2418|14|6746|18478|t
93|0|13007|408|2902|9|6823|23176|t
45|0|6607|344|2315|13|6463|15761|t
102|0|7230|503|2359|17|7437|17573|t
58|0|12882|455|2622|8|7049|23042|t
57|0|9902|420|2364|9|5545|18266|t
54|0|9957|457|2585|15|7158|20196|t
51|0|108326|225|3704|16|7547|119836|t
71|0|107148|373|2931|10|6605|117087|t
50|0|83616|382|2855|16|6376|93269|t
59|0|108364|394|2254|35|6793|117862|t
54|0|83010|429|2299|15|7349|93126|t
49|0|106476|581|2629|14|7568|117291|t
66|0|83960|390|2663|14|6895|93946|t
37|0|6661|329|3376|9|6488|16883|t
78|0|9315|456|2673|17|6189|18671|t
100|0|10475|483|2289|13|7029|20317|t
84|0|10183|470|2282|17|6842|19816|t
47|0|10328|715|2329|15|6994|20403|t
56|0|10589|352|2769|17|7982|21736|t
128|0|6926|447|2408|22|6742|16567|t
44|0|83336|431|2281|26|7409|93502|t
56|0|93153|264|3414|17|7479|104349|t
60|0|107326|384|2846|24|7098|117707|t
85|0|106694|396|2590|10|7239|116952|t
58|0|107740|411|3294|7|8692|120165|t
82|0|109689|303|2461|9|8854|121335|t
52|0|84408|372|2939|21|8130|95902|t
72|0|83441|327|2675|43814|8088|138375|f
57|0|109447|634|3185|18|7070|120405|t
48|0|83827|469|2631|61852|7001|155868|f
49|0|82888|379|2989|14|7653|93980|t
50|0|109161|411|2615|18|8099|120397|t
83|0|106890|58562|2437|15|7507|175434|t
11907|0|96645|371|2496|17|7970|107521|t
1916|0|86087|473|3256|43021|10817|143674|f
47|0|109466|257|2445|16|6599|118804|t
110|0|109444|358|2607|28|8486|120954|t
59|0|84280|437|2702|43454|9639|140533|f
157|0|83927|436|3984|45422|10541|144341|f
85|0|111157|461|4900|11|11471|128036|t
11997|0|97281|340|3608|7|8986|110241|t
76|0|84037|466|5558|59959|8394|158442|f
48|0|7387|310|3969|9|8035|19774|t
58|0|7663|595|2485|31|7332|18139|t
75|0|11705|444|2306|24|7092|21593|t
1775|0|5845|409|2756|14|5381|14425|t
10777|0|23307|416|2392|21|6048|32238|t
48|0|5233|344|2133|21|6463|14218|t
67|0|7221|502|2557|23|6723|17049|t
137|0|13660|476|2596|41|8067|24867|t
99|0|4954|402|2249|14|6443|14088|t
90|0|7257|373|2488|16|6847|17004|t
53|0|8120|397|2444|23|6707|17710|t
44|0|4986|417|2272|14|6288|13997|t
12050|0|25040|413|3235|16|6640|35374|t
57|0|6162|430|2537|28|7084|16262|t
96|0|14853|379|2702|7|9005|26969|t
75|0|154116|648|2732|9|15746|173289|t
53|0|8339|463|2403|16|7629|18879|t
84|0|5279|393|2402|37|7547|15691|t
57|0|11572|461|2080|13|7966|22114|t
59|0|9499|413|2533|13|6757|19242|t
55|0|9021|412|2013|19|6551|18047|t
67|0|10848|390|3417|13|6765|21475|t
64|0|8719|397|2384|14|7413|18953|t
45|0|8707|468|2495|17|6901|18613|t
47|0|83699|408|2559|17|7897|94600|t
81|0|9765|433|2476|41|7013|19753|t
123|0|10828|399|2178|18|7720|21176|t
110|0|83418|490|2797|53|15216|101995|t
48|0|106773|436|4654|25|9934|121844|t
130|0|84043|392|4984|17|11150|100618|t
89|0|107880|417|2524|16|6857|117716|t
67|0|108879|459|2302|12|7904|119582|t
39|0|94792|495|2435|26|8064|105972|t
48|0|109356|391|2654|26|7533|119981|t
145|0|109344|454|2537|29|9230|121619|t
57|0|83543|473|2394|20|7208|93658|t
74|0|108819|344|2662|32|8782|120662|t
90|0|84907|2411|9344|28|8225|105018|t
121|0|110993|454|2384|10|7491|121361|t
69|0|84710|428|2570|15|7708|95494|t
87|0|110591|466|2736|29|8374|122240|t
77|0|84167|383|2543|15|9148|96345|t
57|0|110998|345|2541|15|7914|121849|t
81|0|85462|416|2980|11|7895|96786|t
744|0|84363|315|3334|48576|8308|144917|f
66|0|110882|427|2485|17|8147|121989|t
44|0|83720|330|3963|47664|8356|144055|f
