read_header_duration|decode_duration
2189|238804
2920|87711
2626|2943
2633|6267
2713|3191
2817|3242
2693|3016
3224|3546
2722|3127
13265|13635
3039|3446
38429|39671
4783|7303
2272|6748
20038|20609
2493|14185
3301|14139
37439|46055
2858|13135
2412|5723
2644|20250
2541|50463
2195|20512
37748|74470
2428|45289
3146|32827
2591|48857
36409|71277
2494|52503
2736|29822
3489|56381
2361|45102
2994|50593
2624|43195
2611|35461
2303|36829
2892|37582
3010|230245
3060|93275
2545|302158
2590|298098
2305|234136
2636|96055
12106|80123
2406|305533
3925|86277
2551|86934
2648|455619
2529|324403
2672|86827
16601|145263
2593|553866
4068|99166
6344|134065
3018|171662
2453|128631
3892|4642
15979|108746
3851|97767
2261|96179
2609|122486
2573|204597
2978|161637
2547|128113
2400|85586
2644|127962
3430|100521
2634|127303
3312|140057
4545|100550
19025|133959
2499|129366
2414|123586
3433|214075
2217|129334
4180|154343
3939|96855
2523|154280
2150|96142
2244|121936
2609|111924
6307|127323
2613|113395
2673|88236
3364|136950
2561|120113
6333|15525
17824|31384
2270|24530
2674|12693
2618|18739
2318|10157
2741|12302
2842|19556
2657|11918
2500|13859
2851|128940
2259|12950
4137|21950
2352|12260
3312|21268
5242|15976
4918|13952
2257|84169
2448|114985
2603|111413
2165|108051
1958|114028
11494|90821
2498|107877
2399|93590
2372|118502
2565|93887
2422|112527
2610|95002
2805|93821
3525|113321
2404|82539
2232|110296
2795|91695
2807|111695
2524|80572
2508|93993
2519|120312
2814|81182
2280|114107
2392|79608
2582|112845
7847|81501
3684|90539
4149|113856
3582|82083
5096|88044
2602|124933
2430|80840
2691|82127
2936|127688
2645|80558
2512|87988
2474|123868
2853|81380
2976|116373
2711|80095
2612|127312
4318|129912
2521|124398
13639|114929
2570|118472
4461|95673
2665|126247
3029|97300
3018|126922
2834|125726
2665|126620
2725|123713
15417|114871
2799|123821
2666|101032
2474|122252
2526|92893
2767|120488
2385|94297
5728|96563
2623|131295
3294|100981
2393|128128
3660|128220
2962|109805
2450|126990
3625|97053
2478|123345
2846|101653
4628|128147
2688|131057
2518|129614
3083|86749
2474|130059
17779|158264
2729|84028
2400|127330
3097|98144
3849|127708
4703|82038
2556|126700
2393|84977
22632|107199
2691|3050
12093|12499
2664|3110
2665|3095
12298|12764
2068|2817
2463|3089
3542|4070
2713|3228
12777|13262
2232|2862
2270|2829
2887|10093
2584|3617
2597|3218
2636|3250
2283|2950
2781|3374
2650|3690
13624|14366
2827|3319
2697|3405
2739|10558
2390|3103
2619|9535
2680|15667
3789|4590
2558|3477
2901|10878
2878|3789
2491|3501
2279|2860
3271|4185
4463|5364
2464|3389
3768|4971
16059|17571
4393|6137
2537|3160
2580|8947
2282|3138
2551|3763
2228|11826
4474|5525
2722|3328
2603|3196
18069|19853
2226|3010
2563|3272
2864|10376
3211|3985
2709|3568
2708|10093
2445|3270
3194|4514
2480|3469
2516|10577
2757|3883
2506|4859
2522|10366
2004|3358
2493|3690
2517|3587
2526|134277
3004|86569
3060|117607
2350|2827
13603|104683
2902|83845
2682|106356
3481|108588
2757|85095
2511|109362
2683|83573
2695|108916
2375|84154
2817|110978
2582|107297
2696|110323
2623|105431
13596|104697
2354|110220
2188|84302
2609|109103
2487|109001
2990|109111
2725|91062
3326|110959
2524|89236
2635|116404
2562|88437
2625|121544
2843|115806
2519|97238
2794|110694
3601|88387
2565|116587
5053|85930
2214|117666
4825|83979
15327|113946
2790|115841
2768|94582
2578|83074
3837|114207
8080|236340
3036|96431
4702|82943
3223|140359
2886|102029
2560|142397
6070|138434
2473|129823
2665|137213
2602|120588
2980|175932
3125|109072
2493|104066
16452|318159
3157|199777
3053|114184
2673|126890
4007|130927
2616|144874
2908|119488
2810|89612
3276|112813
5489|90483
2956|120640
9088|121047
2669|120604
2396|89141
3428|121874
2757|89016
3379|120111
2293|93203
4500|126847
2780|91993
2504|124934
2354|115592
2578|98882
2525|127638
2781|127005
2625|146096
2337|128006
3205|124991
2452|108163
4403|133383
2638|96240
2444|125994
2822|115763
2601|179498
3000|141130
5162|6123
2733|3720
6759|7563
2998|3701
3117|3616
5012|5878
60394|61455
52099|52499
4015|4587
57168|58156
97052|97908
3694|4311
95610|95995
101201|102328
3259|4024
6517|7248
1954|85276
25415|26269
2721|3170
16110|17252
2521|111144
3568|4244
2687|3210
2252|10302
2193|117765
2731|107909
2165|108907
2398|94738
2441|132330
2391|133420
2746|131500
3673|142292
2518|130984
13257|128479
5342|148785
5682|97609
2556|98417
2761|128056
2868|149091
4598|98814
2517|150516
2809|104430
3388|168006
2772|165470
2587|127748
14147|162496
2705|176134
18647|219800
3150|3671
2702|3730
8188|8618
5539|6036
2072|2703
31908|32416
2706|3086
2516|2927
33340|40141
2733|3249
2540|3062
2957|6830
2811|3275
2585|3054
2447|2926
12886|13512
2740|82064
2603|203912
2487|3506
2808|3753
2724|7528
3976|5246
2622|4284
5188|5906
2490|4414
14153|15004
2643|4678
2302|11536
2342|8284
2790|8623
2708|8431
2234|148278
15105|128415
2770|150491
2684|151513
2491|152626
15936|158423
2509|153701
2648|148745
15352|129451
2686|150436
3076|149785
2647|122709
2523|82634
2632|88492
2863|151191
4144|121344
2466|150826
4220|151861
3325|88761
2454|154157
16173|134523
2348|83549
8568|155322
2780|89601
2705|162403
2412|2713
2842|3106
2558|3095
2398|2925
2245|2713
2137|2621
2359|3281
2750|3812
2617|3270
2783|3294
4856|5422
2535|2964
2563|3222
2570|3157
3787|4614
2501|3316
2137|2675
2193|2583
2487|3093
2585|3098
2835|3699
3057|3427
2378|12164
2445|3177
2815|11605
2351|82296
3789|106978
3732|84538
4263|108087
2650|109904
3925|90805
2562|114024
3711|91426
2896|116107
2365|94947
2571|119333
3489|96347
2683|152769
3811|94963
2710|123952
2521|92390
2496|122607
2841|94568
