     builder_pubkey                                           |                             block_hash                             |                                                                                 submit_block_sim_error                                                                                 |                get_payload_sim_error                 |        inserted_at         |  slot   
----------------------------------------------------------------------------------------------------+--------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------+----------------------------+---------
 0xacea6a | 0x00cd2feb6ee7850ef42cca6109906fc1b158c27184ca500ed8c92a9c71d8fcb8 | simulation failed: incorrect BlockHash 0x00cd2feb6ee7850ef42cca6109906fc1b158c27184ca500ed8c92a9c71d8fcb8, expected 0xc7cd2feb6ee7850ef42cca6109906fc1b158c27184ca500ed8c92a9c71d8fcb8 |                                                      | 2023-02-11 18:52:49.124874 | 4969465
 0xacea6a | 0x2044ebf64d60c5a52c25e454d5d4654b91f25a2398ba80bcc5bc49b71eed5686 | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-11 20:24:50.306713 | 4969925
 0xacea6a | 0x00cc2b6f5ec0f141f9e045a2535c45378a2e587d7f15427456b00dedfa2fadcb | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-11 20:24:53.911453 | 4969925
 0xacea6a | 0x6b5dd6efca175edbce5079dc6e7d1cb18f5184ff01e9e7b4a70a347da092d631 | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-11 20:24:55.328136 | 4969925
 0xacea6a | 0xce3988d18111a21bf07d915d1540dea39d903a517b17f4d31c1f3ade942ce8d1 | invalid character 'P' looking for beginning of value                                                                                                                                   |                                                      | 2023-02-11 20:24:56.30953  | 4969925
 0xacea6a | 0x6a51c172d565450f669e1f9a15495a212db7dae4ff2e005a805773374b30f2c8 |                                                                                                                                                                                        | simulation failed: block already known               | 2023-02-11 19:46:01.180073 | 4969730
 0xacea6a | 0x8c6eb3869c1542185fb1e105be29f114e4321537b945f708fb179037c7ef64ac |                                                                                                                                                                                        | simulation failed: block requires a reorg            | 2023-02-11 21:56:49.093402 | 4970384
 0xacea6a | 0x7b719e23b45b8c70650d2238c25efeccd34a2b9c958c7bbbf6635b236df37a8e |                                                                                                                                                                                        | simulation failed: block requires a reorg            | 2023-02-12 01:44:25.104089 | 4971522
 0xacea6a | 0x823f07fceda2c9bf1bfc1b0d6b311d269eca6cddb2eb761c7887da15f955f218 |                                                                                                                                                                                        | simulation failed: block requires a reorg            | 2023-02-12 02:39:00.897193 | 4971795
