 slot   |                                                                             submit_block_sim_error                                                                              |           get_payload_sim_error           |        inserted_at         
---------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------+----------------------------
 4987244 |                                                                                                                                                                                 | simulation failed: block already known    | 2023-02-14 06:08:48.92683
 4988565 |                                                                                                                                                                                 | simulation failed: block already known    | 2023-02-14 10:33:00.967053
 4988628 |                                                                                                                                                                                 | simulation failed: block requires a reorg | 2023-02-14 10:45:37.715954
 4990659 |                                                                                                                                                                                 | simulation failed: block requires a reorg | 2023-02-14 17:31:49.191927
 4990750 |                                                                                                                                                                                 | simulation failed: block requires a reorg | 2023-02-14 17:50:02.510847
 4991106 |                                                                                                                                                                                 | simulation failed: block requires a reorg | 2023-02-14 19:01:14.470411
 4991138 |                                                                                                                                                                                 | simulation failed: block requires a reorg | 2023-02-14 19:07:37.963894
 4991522 |                                                                                                                                                                                 | simulation failed: block requires a reorg | 2023-02-14 20:24:26.865259
 4991746 |                                                                                                                                                                                 | simulation failed: block requires a reorg | 2023-02-14 21:09:13.671825
 4991810 |                                                                                                                                                                                 | simulation failed: block already known    | 2023-02-14 21:22:01.671692
 4992386 |                                                                                                                                                                                 | simulation failed: block requires a reorg | 2023-02-14 23:17:13.374415
 4992483 |                                                                                                                                                                                 | simulation failed: block already known    | 2023-02-14 23:36:37.188816
 4993046 |                                                                                                                                                                                 | simulation failed: block requires a reorg | 2023-02-15 01:29:13.259073
 4993748 |                                                                                                                                                                                 | simulation failed: block already known    | 2023-02-15 03:49:37.082875
 4993809 |                                                                                                                                                                                 | simulation failed: block already known    | 2023-02-15 04:01:49.059954
 4993890 |                                                                                                                                                                                 | simulation failed: block already known    | 2023-02-15 04:18:01.265411
 4993975 |                                                                                                                                                                                 | simulation failed: block already known    | 2023-02-15 04:35:00.64748
 4994475 |                                                                                                                                                                                 | simulation failed: block already known    | 2023-02-15 06:15:01.070591
 4996098 |                                                                                                                                                                                 | simulation failed: block already known    | 2023-02-15 11:39:37.298412
 4996452 |                                                                                                                                                                                 | simulation failed: block already known    | 2023-02-15 12:50:25.165341
 4996952 |                                                                                                                                                                                 | simulation failed: block already known    | 2023-02-15 14:30:24.755788
 4998225 |                                                                                                                                                                                 | simulation failed: block already known    | 2023-02-15 18:45:01.389982
 4998875 |                                                                                                                                                                                 | simulation failed: block already known    | 2023-02-15 20:55:00.973383
