submission_duration,optimistic_submission
32458,f
136854,f
52892,f
256299,f
165975,f
36200,f
122170,f
252497,f
137987,f
36507,f
138377,f
240529,f
45796,f
145750,f
242892,f
119908,f
138767,f
234619,f
141631,f
127899,f
142862,f
249740,f
253576,f
119249,f
143042,f
121181,f
135940,f
126024,f
142337,f
267358,f
126214,f
232992,f
303818,f
401324,f
141659,f
293000,f
144747,f
226549,f
405051,f
131572,f
149253,f
239036,f
372044,f
412560,f
16261,f
18258,f
14048,f
41613,f
40085,f
30723,f
28919,f
36145,f
30196,f
30591,f
34982,f
29575,f
30784,f
17806,f
18191,f
17417,f
29199,f
54639,f
139202,f
168487,f
47679,f
182323,f
298178,f
39016,f
27305,f
31939,f
41522,f
29129,f
32697,f
38936,f
35163,f
29692,f
42106,f
35536,f
45066,f
38101,f
35587,f
44780,f
41025,f
37872,f
47775,f
59951,f
236627,f
245729,f
254911,f
195377,f
391997,f
259367,f
304600,f
377331,f
346384,f
191266,f
239744,f
279836,f
349136,f
33489,f
37641,f
36299,f
46313,f
34493,f
37195,f
44610,f
18655,f
68620,f
34770,f
198602,f
138896,f
141879,f
38384,f
43664,f
47650,f
40126,f
49497,f
43494,f
42248,f
50096,f
50245,f
46078,f
53077,f
43437,f
44863,f
52325,f
44393,f
50392,f
51961,f
48464,f
55322,f
85831,f
65708,f
62496,f
48702,f
72407,f
64399,f
133742,f
134411,f
135854,f
156643,f
138373,f
136028,f
156207,f
162780,f
141326,f
151124,f
352136,f
228061,f
140766,f
165844,f
152153,f
154960,f
152182,f
170631,f
147758,f
154917,f
171172,f
170649,f
203109,f
705782,f
301862,f
221777,f
230703,f
235024,f
261659,f
212854,f
298073,f
244788,f
215711,f
203505,f
219924,f
286759,f
245820,f
219991,f
204864,f
697343,f
612163,f
501532,f
305493,f
230819,f
209117,f
208105,f
250948,f
262757,f
213284,f
215037,f
215759,f
206221,f
315754,f
219954,f
243071,f
275640,f
264133,f
255633,f
494747,f
510698,f
307362,f
216980,f
237225,f
311071,f
509251,f
287404,f
228666,f
225802,f
293606,f
273023,f
279261,f
293915,f
207123,f
299732,f
254674,f
294665,f
24252,f
19628,f
20389,f
19902,f
43079,f
19811,f
34204,f
28077,f
39508,f
30364,f
35417,f
42258,f
33868,f
32413,f
42960,f
71384,f
163103,f
53396,f
47856,f
51863,f
51514,f
45517,f
65052,f
151260,f
52061,f
56043,f
82220,f
69514,f
54711,f
61673,f
58532,f
143096,f
74321,f
452706,f
302968,f
357077,f
155564,f
274758,f
186617,f
227256,f
253015,f
185757,f
191738,f
188061,f
191350,f
198908,f
199697,f
196111,f
251251,f
180724,f
176005,f
219339,f
212897,f
306519,f
248159,f
177056,f
229702,f
189010,f
180792,f
172975,f
255887,f
172135,f
213190,f
160308,f
261716,f
162254,f
507766,f
212316,f
221119,f
168904,f
245566,f
188863,f
180684,f
246997,f
164096,f
186494,f
180256,f
231593,f
199447,f
202176,f
186366,f
231403,f
172493,f
234147,f
197782,f
196799,f
197289,f
179059,f
267147,f
164157,f
196145,f
195005,f
237645,f
205247,f
185554,f
239181,f
183839,f
246554,f
210668,f
168852,f
229296,f
44000,f
37702,f
54242,f
169191,f
61477,f
47378,f
226669,f
136709,f
145898,f
133900,f
151544,f
150103,f
269649,f
153847,f
167254,f
151111,f
148841,f
149397,f
172934,f
189612,f
174577,f
227888,f
174176,f
189202,f
178853,f
343872,f
200772,f
165106,f
177449,f
230683,f
14472,f
18812,f
19734,f
15604,f
18075,f
20898,f
23883,f
26243,f
27650,f
30056,f
356476,f
210007,f
301417,f
178165,f
254367,f
222114,f
289132,f
163100,f
208207,f
218102,f
223331,f
260940,f
166405,f
220609,f
252424,f
406541,f
301500,f
169674,f
216511,f
190725,f
245256,f
232517,f
175455,f
239303,f
171084,f
212920,f
203431,f
201694,f
221133,f
175934,f
187635,f
196009,f
196787,f
59379,f
145080,f
142688,f
164524,f
46175,f
74574,f
54940,f
53119,f
65164,f
55151,f
64180,f
57246,f
294113,f
182855,f
171676,f
157406,f
142792,f
149378,f
146235,f
165464,f
151869,f
139834,f
149244,f
174186,f
147022,f
160990,f
147154,f
177573,f
147853,f
153695,f
154696,f
154989,f
177315,f
184149,f
158027,f
164644,f
156943,f
189607,f
162558,f
164107,f
374102,f
410351,f
204665,f
196187,f
237665,f
483058,f
804145,f
508389,f
178542,f
181522,f
486695,f
693738,f
318575,f
304181,f
269139,f
245900,f
