submission_duration,optimistic_submission
109503,t
137109,t
153883,t
214521,t
231864,t
133505,t
154385,t
157313,t
237881,t
154714,t
169530,t
171255,t
191668,t
189886,t
190255,t
759849,t
213588,t
163932,t
270922,t
165807,t
318991,t
163895,t
308169,t
212149,t
213354,t
490419,t
274887,t
144431,t
168610,t
211026,t
179113,t
173795,t
174256,t
160985,t
177334,t
458896,t
208413,t
212784,t
211303,t
162482,t
242291,t
244579,t
176792,t
159618,t
251015,t
174671,t
313143,t
325694,t
163180,t
173373,t
187224,t
177681,t
90635,t
163466,t
158207,t
175668,t
112483,t
186576,t
175590,t
180913,t
177442,t
179981,t
37476,t
132429,t
8685,t
8884,t
47119,t
24828,t
19863,t
25197,t
68619,t
28077,t
39484,t
131781,t
128539,t
134009,t
130751,t
203935,t
194057,t
10476,t
9471,t
10403,t
21066,t
12681,t
11497,t
13119,t
24922,t
26843,t
12494,t
16727,t
17805,t
30158,t
26871,t
18502,t
15022,t
9245,t
150363,t
162116,t
205339,t
507424,t
270745,t
187840,t
172191,t
175180,t
292937,t
889196,t
131924,t
147144,t
136265,t
191167,t
158747,t
147861,t
152459,t
136619,t
154182,t
139594,t
177363,t
210384,t
126612,t
132744,t
14523,t
10191,t
8864,t
11327,t
9497,t
9692,t
14010,t
12562,t
16142,t
13623,t
13625,t
15334,t
17970,t
18075,t
16985,t
20781,t
32656,t
108418,t
8918,t
10850,t
11496,t
14895,t
23473,t
12372,t
11829,t
16691,t
15447,t
136892,t
128505,t
116721,t
127430,t
120829,t
122813,t
120996,t
152166,t
131239,t
144716,t
126363,t
128480,t
180726,t
136091,t
180796,t
133555,t
177689,t
506355,t
177120,t
177667,t
160735,t
159631,t
9754,t
9516,t
13708,t
10489,t
14248,t
10228,t
173192,t
122493,t
124691,t
121997,t
138506,t
140287,t
346351,t
159036,t
