bn,pk,bh,val
16707626,0x94aa4e,0x01b699,23049969458221191
16707626,0x94aa4e,0xdd0fbc,22111715001495029
16707626,0x94aa4e,0xee483e,15519222773571374
16707626,0x94aa4e,0x2df179,23533778783742191
16707626,0x94aa4e,0xbe20f4,23690990026201121
16707626,0x94aa4e,0x58b276,24602580819213321
16707627,0x94aa4e,0xcdfb91,20117923682840842
16707627,0x94aa4e,0x8357d5,30088789188971123
16707627,0x94aa4e,0x0f4ce2,14594897489107702
16707627,0x94aa4e,0xf37331,14013920937334054
16707627,0x94aa4e,0x3c5367,21231003405056886
16707627,0x94aa4e,0x3d4641,22656905076387558
16707627,0x94aa4e,0xcfea79,21582152240193627
16707630,0x94aa4e,0x31764e,22485233167966061
16707630,0x94aa4e,0x7d8ec4,14462398116474183
16707630,0x94aa4e,0x53ca09,22902607926041061
16707630,0x94aa4e,0x53ca09,22902607926041061
16707633,0x94aa4e,0x4bccd6,17146540686646953
16707630,0x94aa4e,0x9c2a24,22918739429634381
16707633,0x94aa4e,0x8dea58,18227348794278627
16707630,0x94aa4e,0xb07d55,23291926228082221
16707630,0x94aa4e,0xc99d79,23031290589634381
16707633,0x94aa4e,0x6f6213,20032121562757981
16707633,0x94aa4e,0x9ee0df,26946645802774113
16707633,0x94aa4e,0x53fbf6,27595418969844868
16707630,0x94aa4e,0xe5d725,23156985090007221
16707633,0x94aa4e,0xb6023f,28945067747574929
16707656,0x94aa4e,0xcf69d7,44111580708213594
16707633,0x94aa4e,0x7d7671,29339757560634527
16707643,0x94aa4e,0xadf4b7,13115112269474122
16707643,0x94aa4e,0xd00b8a,18582924049898680
16707643,0x94aa4e,0xa73fb1,15711244627581083
16707643,0x94aa4e,0xf979fc,15732244627581083
16707648,0x94aa4e,0x2d3284,23435718923302157
16707656,0x94aa4e,0x681539,63089189097927815
16707648,0x94aa4e,0x0d9769,39961816738941688
16707648,0x94aa4e,0x3f8856,42297063806388360
16707643,0x94aa4e,0x709eee,16809129521301221
16707643,0x94aa4e,0xda0ede,18174399180788886
16707656,0x94aa4e,0xf3153d,63299169097927815
16707656,0x94aa4e,0x2f434f,63910919265117436
16707661,0x94aa4e,0x1c6c21,22227506110211730
16707648,0x94aa4e,0xbd764f,43269002085939481
