inserted_at,received_at
00:04:11.245849,00:04:11.141684
00:04:12.007613,00:04:11.899113
00:04:00.813896,00:04:00.651353
00:04:01.670012,00:04:01.463113
00:04:02.477875,00:04:02.314228
00:04:03.368097,00:04:03.124559
00:04:04.197234,00:04:04.017989
00:04:04.94431,00:04:04.846997
00:04:05.784335,00:04:05.589673
00:04:06.599905,00:04:06.430688
00:04:07.362657,00:04:07.252309
00:04:08.126397,00:04:08.011914
00:04:08.967342,00:04:08.778808
00:04:09.730465,00:04:09.621341
00:04:10.492008,00:04:10.384223
00:06:36.877116,00:06:36.666582
00:06:37.736794,00:06:37.515368
00:06:38.639562,00:06:38.410114
00:06:39.519736,00:06:39.281651
00:06:40.341173,00:06:40.17168
00:06:41.165958,00:06:40.994465
00:06:41.989959,00:06:41.806809
00:06:42.824487,00:06:42.635421
00:06:43.660389,00:06:43.470334
00:06:44.525477,00:06:44.329002
00:06:45.371812,00:06:45.184311
00:06:46.220774,00:06:46.018441
00:06:47.06632,00:06:46.870386
00:06:47.924021,00:06:47.711864
00:06:48.765189,00:06:48.571095
00:10:28.155219,00:10:27.835037
00:10:26.30542,00:10:25.800544
00:10:27.156357,00:10:26.956538
00:10:29.297901,00:10:28.869162
00:10:36.437285,00:10:36.17359
00:10:37.382916,00:10:37.11287
00:10:30.212834,00:10:29.957119
00:10:31.297104,00:10:30.900923
00:10:32.235897,00:10:31.965412
00:10:33.178746,00:10:32.911099
00:10:34.09359,00:10:33.849987
00:10:35.40119,00:10:34.769968
00:11:31.098485,00:11:31.06897
00:11:31.772528,00:11:31.724651
00:11:26.522842,00:11:26.499822
00:11:27.16235,00:11:27.143803
00:11:27.816486,00:11:27.784999
00:11:28.468524,00:11:28.43922
00:11:29.123277,00:11:29.094745
00:11:29.778852,00:11:29.749289
00:11:30.437545,00:11:30.406967
00:11:32.458744,00:11:32.416792
00:11:33.127591,00:11:33.088191
00:11:33.989584,00:11:33.762818
00:11:34.845857,00:11:34.628148
00:11:35.715966,00:11:35.487576
00:11:36.654952,00:11:36.354138
00:12:49.510359,00:12:49.482878
00:12:50.157987,00:12:50.135337
00:12:50.806839,00:12:50.781841
00:12:51.455848,00:12:51.432159
00:12:52.113006,00:12:52.084531
00:12:52.776644,00:12:52.739106
00:12:54.790557,00:12:54.748512
00:12:55.479442,00:12:55.426357
00:12:56.185989,00:12:56.135427
00:12:56.871899,00:12:56.822932
00:12:53.439477,00:12:53.405779
00:12:54.114861,00:12:54.073446
00:12:57.56554,00:12:57.511478
00:12:58.252328,00:12:58.204143
00:12:58.939978,00:12:58.893584
00:12:59.62674,00:12:59.578574
00:13:00.334197,00:13:00.296924
00:13:01.025858,00:13:00.974533
00:13:02.302554,00:13:02.287445
00:13:02.937388,00:13:02.922207
00:13:03.571202,00:13:03.555796
00:13:04.209496,00:13:04.192181
00:13:04.870738,00:13:04.847211
00:13:05.524089,00:13:05.497293
00:13:06.172937,00:13:06.150724
00:13:06.82323,00:13:06.796475
00:13:07.476605,00:13:07.448681
00:13:08.135177,00:13:08.103615
00:13:08.798919,00:13:08.769704
00:13:09.467955,00:13:09.434587
00:13:10.133591,00:13:10.10039
00:13:10.795704,00:13:10.765483
00:13:11.461223,00:13:11.430711
00:13:12.124856,00:13:12.094627
00:13:12.790568,00:13:12.759194
00:13:25.976563,00:13:25.963241
00:13:26.616491,00:13:26.596836
00:13:27.253974,00:13:27.237769
00:13:27.892846,00:13:27.875479
00:13:28.53287,00:13:28.515713
00:13:29.178307,00:13:29.159023
00:13:29.820392,00:13:29.801385
00:13:30.466527,00:13:30.444643
00:13:31.136811,00:13:31.096175
00:13:31.820508,00:13:31.778839
00:13:32.515197,00:13:32.464363
00:13:33.208106,00:13:33.154912
00:13:33.913092,00:13:33.858913
00:13:34.617874,00:13:34.562737
00:13:35.328731,00:13:35.269204
00:13:36.038336,00:13:35.97809
