slot,mics
4969958,139483
4969958,133676
4969958,128424
4969958,129174
4969958,131046
4969958,176000
4969958,130318
4969958,129197
4969958,130834
4969958,132925
4969958,129922
4969958,129815
4969958,479461
4969958,128775
4969958,133721
4969958,129515
4969958,130150
4969958,372688
4969985,132176
4969985,136965
4969985,276862
4969985,364713
4969985,362728
4969985,431372
4969985,650157
4969985,361816
4969985,454728
4969985,473465
4969985,423580
4969985,360559
4969985,386649
4969992,158053
4969992,147461
4969992,154229
4969992,158471
4969992,160957
4969992,266322
4969992,274340
4969992,273147
4969992,268692
4969992,276777
4969992,278806
4969992,272059
4969992,276092
4969992,283155
4969992,279073
4969997,144504
4969997,145527
4969997,143612
4969997,149896
4969997,146596
4969997,155782
4969997,168755
4969997,160194
4969997,166223
4969997,163408
4969997,182012
4969997,177834
4969997,170580
4969997,168111
4969997,425831
4969997,171298
4969997,172299
4970025,168025
4970025,158966
4970025,157580
4970025,180248
4970025,183803
4970025,183034
4970025,180497
4970025,362223
4970025,533686
4970025,691296
4970025,615954
4970025,686361
4970025,1024148
4970037,188243
4970037,138528
4970037,147118
4970037,156053
4970037,174604
4970037,183859
4970037,282710
4970037,420668
4970037,282155
4970037,299010
4970037,300952
4970037,204488
4970037,308490
4970037,587660
4970058,223537
4970058,200034
4970058,247998
4970058,251487
4970058,224148
4970058,274598
4970058,239524
4970058,228333
4970058,229664
4970058,236566
4970058,320352
4970058,325847
4970058,352156
4970058,331454
4970066,149993
4970066,146170
4970066,181649
4970066,427435
4970066,458879
4970066,528359
4970066,591790
4970066,613156
4970066,589563
4970066,984654
4970095,252567
4970095,143847
4970095,145874
4970095,141699
4970095,145530
4970095,148137
4970095,147745
4970095,152731
4970095,207264
4970095,163381
4970095,170393
4970095,167708
4970095,265325
4970095,268431
4970095,265043
4970095,264180
4970101,147228
4970101,146788
4970101,153552
4970101,147974
4970101,153424
4970101,155648
4970101,162297
4970101,165286
4970101,168628
4970101,161121
4970101,185952
4970101,170684
4970101,174670
4970101,177950
4970101,179592
4970101,171217
4970101,186224
4970101,211920
4970117,138219
4970117,128864
4970117,176524
4970117,537022
4970117,421813
4970117,521975
4970117,496237
4970117,527346
4970117,366301
4970117,411155
4970117,374518
4970117,403242
4970117,356755
4970117,718532
4970126,218046
4970126,139894
4970126,146032
4970126,177458
4970126,190802
4970126,193123
4970126,195877
4970126,193366
4970126,211218
4970126,205388
4970126,220360
4970126,254044
4970126,218289
4970126,221498
4970126,239314
4970126,218927
4970127,129148
4970127,128893
4970127,142990
4970127,148270
4970127,158016
4970127,409184
4970127,561390
4970127,579155
4970127,443471
4970127,441751
4970127,358440
4970127,510204
4970127,939252
4970130,127569
4970130,128078
4970130,134398
4970130,150082
4970130,133036
4970130,136494
4970130,136863
4970130,152026
4970130,155961
4970130,161848
4970130,138138
4970130,283886
4970130,576503
4970130,400862
4970130,372538
4970134,260783
4970134,260672
4970134,263271
4970134,258533
4970134,254733
4970134,259543
4970134,258596
4970134,257519
4970134,453960
4970134,260134
4970134,259752
4970134,262059
4970134,270423
4970134,379425
4970157,132343
4970157,129641
4970157,132931
4970157,138296
4970157,137418
4970157,139509
4970157,135292
4970157,141123
4970157,148962
4970157,149430
4970157,156576
4970157,154163
4970157,160044
4970157,157305
4970157,162639
4970157,167848
4970157,166626
4970177,182639
4970177,185530
4970177,196530
4970177,211680
4970177,212603
4970177,258626
4970177,244431
4970177,203801
4970177,247968
4970177,183572
4970177,247714
4970177,188345
4970177,181044
4970177,228553
4970177,203530
4970201,301726
4970201,258733
4970201,291121
4970201,321915
4970201,314109
4970201,219474
4970201,220795
4970201,230081
4970201,288619
4970201,292678
4970201,321045
4970201,293347
4970201,306874
4970201,299868
4970201,304956
4970205,128149
4970205,136429
4970205,317429
4970205,317571
4970205,317255
4970205,329919
4970205,330147
4970205,329387
4970205,335702
4970205,336641
4970205,343015
4970205,664051
4970205,331576
4970205,333293
4970205,334821
