precheck_duration,simulation_duration,redis_update_duration,submission_duration,optimistic_submission
4927,18252,5862,29043,f
12329,12448,6345,31124,f
3615,11390,5797,20803,f
4191,10949,4233,19374,f
75291,12419,6911,94622,f
3773,12612,5316,21702,f
66225,17851,4675,88753,f
85376,16171,6144,107692,f
100488,17726,5140,123356,f
86783,26249,10334,123367,f
75474,15466,7149,98090,f
118469,14749,6504,139723,f
85540,19697,8836,114073,f
26056,16322,4738,47118,f
76097,15141,5367,96606,f
109810,15477,5524,130812,f
86857,15334,4833,107025,f
86872,21195,8401,116470,f
30069,15967,22665,68702,f
116927,14607,5245,136780,f
84844,21046,6753,112645,f
78478,17352,5663,101494,f
60763,18609,5397,84770,f
85783,27575,6345,119703,f
16249,19513,6260,42023,f
47943,23291,9072,80308,f
84019,22849,7060,113929,f
14002,20846,5917,40766,f
85403,24799,7012,117215,f
49341,18933,5735,74011,f
15081,19381,5577,40041,f
84964,24092,7564,116621,f
36117,19973,5621,61712,f
36536,19130,5257,60925,f
86192,22256,7139,115587,f
11309,20784,5509,37603,f
4539,19227,5550,29317,f
4761,24327,19904,48994,f
44634,21156,16541,82332,f
266761,22556,6604,295923,f
85716,27703,10090,123510,f
4392,30473,5321,40187,f
50852,20621,7025,78499,f
85058,24475,7540,117076,f
25517,23511,6109,55138,f
3466,20852,5662,29982,f
85335,24986,6517,116839,f
52535,20990,5822,79348,f
17795,38600,6075,62471,f
3563,24849,6295,34708,f
8054,21892,5074,35020,f
15862,22002,5716,43582,f
52480,24853,5545,82879,f
86115,30898,7017,124032,f
85848,100185,9253,195287,f
138562,44562,6814,189940,f
333366,145631,103407,582406,f
85983,50496,7156,143636,f
32147,53697,6976,92821,f
272826,32351,10373,315552,f
84536,49193,6937,140668,f
331648,69357,12513,413520,f
87544,52858,7426,147829,f
86167,81721,8435,176325,f
92248,73772,17870,183892,f
334382,77861,96391,508635,f
85910,54481,7274,147666,f
85410,71146,8384,164941,f
323959,149729,11995,485684,f
88648,55876,6920,151444,f
87925,60674,7692,156292,f
85906,74319,8157,168384,f
86646,65315,8798,160760,f
179648,88037,11763,279449,f
85909,64663,7492,158065,f
332524,80396,64948,477869,f
86063,59381,9042,154487,f
419574,82125,25129,526830,f
84921,59832,9260,154014,f
340161,81700,14977,436839,f
90846,68770,8323,167940,f
178995,88463,8856,276316,f
175094,92939,109642,377676,f
199245,101735,408488,709469,f
205163,189545,214838,609548,f
197709,107953,305356,611019,f
249840,22090,9533,281465,f
112257,19541,7374,139173,f
88628,19754,9040,117423,f
100610,15681,7178,123469,f
247670,17485,6728,271883,f
100838,18184,7400,126424,f
160824,19234,6067,186126,f
94256,19805,7274,121336,f
90693,26106,8272,125072,f
260174,18895,8053,287124,f
229250,19210,7462,255924,f
152723,19305,6222,178251,f
248929,21331,12651,282912,f
130298,21787,8982,161069,f
177216,21117,7591,205926,f
104479,22369,7479,134328,f
122164,23750,8300,154216,f
135791,23809,7994,167596,f
482820,22625,7266,512713,f
133397,26171,8033,167601,f
90556,22293,7894,120745,f
103904,23348,7743,134997,f
74123,24118,7670,105912,f
131836,23014,6712,161563,f
87144,23005,6806,116957,f
192611,28605,8013,229231,f
108110,35455,10461,154028,f
141571,46869,9354,197796,f
114709,37487,9491,161689,f
115004,35269,11315,161589,f
145646,36303,8899,190849,f
308462,35812,9591,353867,f
101388,35384,8758,145531,f
164926,38512,9751,213190,f
156990,38687,9285,204963,f
415383,35218,8699,459300,f
