inserted_at,received_at
20:17:14.546928,20:17:14.534417
20:17:15.199462,20:17:15.181579
20:17:15.851302,20:17:15.837449
20:17:16.500833,20:17:16.484212
20:17:17.159618,20:17:17.133711
20:17:20.031838,20:17:19.899158
20:17:20.820839,20:17:20.685278
20:17:21.594217,20:17:21.455486
20:17:17.820827,20:17:17.799139
20:17:18.493225,20:17:18.463317
20:17:19.263632,20:17:19.130868
20:17:22.364183,20:17:22.238032
20:17:23.148502,20:17:23.010262
20:17:23.934592,20:17:23.799937
20:18:27.716236,20:18:27.685572
20:18:25.071888,20:18:25.052333
20:18:25.728543,20:18:25.711133
20:18:26.388326,20:18:26.362204
20:18:27.043991,20:18:27.023326
20:18:28.384824,20:18:28.361265
20:18:29.055375,20:18:29.019757
20:18:29.729649,20:18:29.696117
20:18:30.395112,20:18:30.372345
20:18:31.32131,20:18:31.047396
20:18:33.129212,20:18:32.930497
20:18:34.097997,20:18:33.79934
20:18:32.257866,20:18:31.986756
20:18:35.037943,20:18:34.787366
20:18:35.993429,20:18:35.716211
20:24:51.458223,20:24:51.035556
20:24:49.190652,20:24:49.010624
20:24:50.340162,20:24:49.876284
20:24:55.36392,20:24:54.787704
20:24:56.297509,20:24:56.061256
20:24:54.099713,20:24:53.141016
20:24:52.453082,20:24:52.146308
20:24:58.212616,20:24:57.947111
20:25:00.054504,20:24:59.81664
20:24:57.246803,20:24:56.996824
20:24:59.121031,20:24:58.908778
20:27:13.604039,20:27:13.586149
20:27:14.265027,20:27:14.24565
20:27:15.659535,20:27:15.574155
20:27:16.368345,20:27:16.282879
20:27:14.943183,20:27:14.920599
20:27:17.092803,20:27:16.999496
20:27:17.805019,20:27:17.745774
20:27:18.510518,20:27:18.454876
20:27:19.241373,20:27:19.169887
20:27:20.021467,20:27:19.908961
20:27:21.608097,20:27:21.494061
20:27:20.845147,20:27:20.660031
20:27:22.344946,20:27:22.258319
20:27:23.209106,20:27:22.985122
20:27:24.103661,20:27:23.867365
20:27:25.073142,20:27:24.781904
20:31:25.234509,20:31:25.218109
20:31:25.867278,20:31:25.853496
20:31:27.812552,20:31:27.755486
20:31:29.077775,20:31:29.064491
20:31:29.706331,20:31:29.692917
20:31:30.977552,20:31:30.96286
20:31:33.223656,20:31:33.210228
20:31:24.597439,20:31:24.57703
20:31:26.497906,20:31:26.484811
20:31:27.131282,20:31:27.116062
20:31:28.445127,20:31:28.430795
20:31:30.343807,20:31:30.328362
20:31:31.609371,20:31:31.596349
20:31:32.41156,20:31:32.235933
20:31:33.858462,20:31:33.841101
20:31:34.491211,20:31:34.478239
20:31:35.123398,20:31:35.109901
20:31:35.99803,20:31:35.740555
20:36:50.036797,20:36:50.019325
20:36:50.681234,20:36:50.65976
20:36:51.471406,20:36:51.307047
20:36:52.358402,20:36:52.107714
20:36:53.243982,20:36:52.994085
20:36:54.19965,20:36:53.88312
20:36:55.372909,20:36:54.838859
20:36:56.266228,20:36:56.016046
20:36:57.253022,20:36:56.917473
20:36:58.253773,20:36:57.895107
20:37:00.098271,20:36:59.852923
20:37:01.019581,20:37:00.797147
20:36:59.206366,20:36:58.899127
20:38:13.880727,20:38:13.837768
20:38:22.252851,20:38:22.094172
20:38:23.063846,20:38:22.907215
20:38:23.882036,20:38:23.714327
20:38:14.543319,20:38:14.508567
20:38:15.224144,20:38:15.185149
20:38:15.905628,20:38:15.861269
20:38:16.593383,20:38:16.545095
20:38:17.38499,20:38:17.235033
20:38:18.189856,20:38:18.035465
20:38:18.996248,20:38:18.836473
20:38:19.797833,20:38:19.642315
20:38:20.626098,20:38:20.4632
20:38:21.443758,20:38:21.279298
20:38:24.696171,20:38:24.529905
20:39:17.131923,20:39:17.07564
20:39:13.101115,20:39:13.070008
20:39:13.765724,20:39:13.733559
20:39:14.425339,20:39:14.394781
20:39:15.086666,20:39:15.054225
20:39:15.754896,20:39:15.725637
20:39:16.438333,20:39:16.399568
20:39:17.825888,20:39:17.784742
20:39:18.51584,20:39:18.465383
20:39:19.205509,20:39:19.157136
20:39:19.905048,20:39:19.851238
20:39:20.625272,20:39:20.567079
20:39:21.328587,20:39:21.274319
20:39:22.030981,20:39:21.979271
20:39:22.918879,20:39:22.697289
20:39:23.694033,20:39:23.637899
20:39:24.397159,20:39:24.338461
20:44:56.23308,20:44:55.689277
20:44:58.630896,20:44:58.096909
20:45:00.101589,20:44:59.325851
20:44:48.93634,20:44:48.913432
20:44:49.606917,20:44:49.586473
20:44:50.275296,20:44:50.254607
20:44:50.968109,20:44:50.931804
20:44:51.665038,20:44:51.627786
20:44:52.362944,20:44:52.293698
20:44:53.059953,20:44:52.991481
20:44:53.940827,20:44:53.724564
20:44:54.99795,20:44:54.611825
20:44:57.39886,20:44:56.896523
20:47:13.659334,20:47:13.629566
20:47:14.304316,20:47:14.280662
20:47:14.962916,20:47:14.928921
20:47:15.630022,20:47:15.587002
20:47:16.318326,20:47:16.257076
20:47:17.015353,20:47:16.946509
20:47:18.756901,20:47:18.447694
20:47:19.555796,20:47:19.390073
20:47:23.912203,20:47:23.438848
20:47:17.814052,20:47:17.645575
20:47:20.397868,20:47:20.213996
20:47:21.222748,20:47:21.034398
20:47:21.948108,20:47:21.857556
20:47:22.788584,20:47:22.593118
20:51:25.590181,20:51:25.536628
20:51:26.311978,20:51:26.258257
20:51:27.079116,20:51:26.946529
20:51:27.855917,20:51:27.750993
20:51:28.603131,20:51:28.493218
20:51:29.403999,20:51:29.243739
20:51:30.166586,20:51:30.040877
20:51:30.919251,20:51:30.804084
20:51:31.672592,20:51:31.556255
20:51:32.448868,20:51:32.327112
20:51:33.296712,20:51:33.090189
20:51:34.153903,20:51:33.94042
20:51:35.048341,20:51:34.809846
20:51:35.91757,20:51:35.699131
20:53:06.027902,20:53:05.685242
20:53:02.712773,20:53:02.691418
20:53:03.371996,20:53:03.346593
20:53:04.069559,20:53:04.000535
20:53:05.024709,20:53:04.711566
20:53:09.397653,20:53:08.905813
20:53:07.099585,20:53:06.687232
20:53:08.232928,20:53:07.760807
20:53:10.549615,20:53:10.092923
20:53:12.000017,20:53:11.220496
20:58:49.616254,20:58:49.508901
20:58:50.270105,20:58:50.238745
20:58:50.923805,20:58:50.892218
20:58:51.579486,20:58:51.551797
20:58:52.234691,20:58:52.203806
20:58:52.893521,20:58:52.861122
20:58:53.556629,20:58:53.520458
20:58:54.221817,20:58:54.185325
20:58:54.946986,20:58:54.85353
20:58:55.638417,20:58:55.591442
20:58:56.353806,20:58:56.296599
20:58:57.052049,20:58:56.999119
20:58:57.851587,20:58:57.70102
20:58:58.652937,20:58:58.499394
20:58:59.452094,20:58:59.299869
20:59:00.255159,20:59:00.106796
21:00:03.821202,21:00:03.789662
21:00:04.489927,21:00:04.458923
21:00:01.171301,21:00:01.147574
21:00:01.828026,21:00:01.803032
21:00:02.484987,21:00:02.46267
21:00:03.146968,21:00:03.123255
21:00:05.166445,21:00:05.12728
21:00:08.637112,21:00:08.588844
21:00:09.337068,21:00:09.286847
21:00:10.050993,21:00:09.996888
21:00:05.852283,21:00:05.812357
21:00:06.54261,21:00:06.49277
21:00:07.221972,21:00:07.184403
21:00:07.926022,21:00:07.872664
21:00:10.764025,21:00:10.708352
21:00:11.471771,21:00:11.420816
21:00:12.180427,21:00:12.124062
21:00:12.942299,21:00:12.850888
21:03:13.462911,21:03:13.448524
21:03:12.826739,21:03:12.804675
21:03:14.147412,21:03:14.083687
21:03:15.197893,21:03:14.777115
21:03:16.169884,21:03:15.868695
21:03:17.224393,21:03:16.815302
21:03:18.255389,21:03:17.884152
21:03:19.317722,21:03:18.925415
21:03:20.226561,21:03:19.97678
21:03:21.176453,21:03:20.881065
21:03:22.073401,21:03:21.828356
21:03:23.037702,21:03:22.753063
