decode_duration,cache_read_duration,randao_lock_1_duration,duties_lock_duration,checks_duration,randao_lock_2_duration,simulation_duration,redis_update_duration,submission_duration,optimistic_submission
14203,425,0,1,19,3462,27281,8072,53466,f
12948,487,0,1,10,2620,22094,7814,45979,f
9340,498,0,1,16,2673,22732,7511,42775,f
8651,511,0,1,9,2441,26637,7528,45782,f
6259,492,0,1,21,2294,26844,6884,42799,f
12704,537,0,1,27,2588,27797,7021,50678,f
7836,480,0,1,11,2012,35322,8555,54220,f
3065,620,0,1,11,2434,13245,5376,24757,f
12947,450,0,2,21,2895,12285,5689,34292,f
457,427,0,1,11,2643,13679,5877,23100,f
14094,512,0,1,64,2849,12927,5992,36444,f
3387,548,0,1,12,3757,14619,6165,28492,f
7929,493,0,2,12,3002,13893,6754,32088,f
8974,427,0,1,31,2778,19315,6868,38397,f
3196,432,0,1,12,2175,17671,6560,30051,f
9716,499,0,1,13,2491,19073,6823,38620,f
7361,437,0,1,13,2585,19525,7312,37237,f
10737,434,0,1,8,2686,24129,6967,44966,f
5827,477,0,1,14,2977,29238,9431,47968,f
1016,390,0,1,13,2547,76778,11420,92167,f
16358,530,0,1,13,2973,42535,10468,72882,f
1893,435,0,1,13,2389,34754,8778,48266,f
2562,532,0,1,24,2933,35921,8487,50464,f
27941,464,0,1,14,2500,37543,9656,78123,f
1628,465,0,1,9,2972,35896,61746,102721,f
2925,429,0,1,24,2812,36664,83846,126705,f
1629,600,0,1,12,3194,96829,108895,211164,f
956,1202,0,2,23,2999,94731,12685,112601,f
12815,507,0,1,11,2313,41078,7306,64035,f
11333,499,0,1,29,2573,29560,8566,52565,f
9867,1176,0,1,18,2622,31829,8021,53538,f
26893,437,0,1,10,2718,31328,8206,69597,f
10099,550,0,1,13,2912,31864,7880,53324,f
1097,490,0,1,12,2964,33754,9937,48259,f
15913,434,0,1,10,2411,76973,13428,109175,f
11329,889,0,1,20,2715,77440,12593,104991,f
2374,425,0,1,11,2984,34438,16662,56898,f
2577,529,0,1,9,2706,42502,8630,56958,f
13284,467,0,1,18,2658,35125,8276,59832,f
1376,636,0,1,25,3039,96651,105972,207704,f
47463,509,0,1,11,1985,37228,9226,96426,f
14924,535,0,1,10,2651,38790,9594,66508,f
83002,413,0,1,16,2209,31816,45605,163064,f
84435,430,0,1,11,2254,27490,8937,123561,f
97610,454,0,1,11,2505,28745,8666,137996,f
81884,402,0,1,10,2619,29724,8269,122912,f
85543,430,0,1,10,2655,30412,11929,130984,f
98584,377,0,1,10,2520,32592,8933,143019,f
83884,465,0,1,10,20045,28191,10132,142732,f
100852,445,0,1,10,2269,31602,9667,144850,f
203,433,0,1,12,4034,14065,6543,25295,f
319,466,0,1,9,2812,9826,5770,19207,f
232,500,0,1,19,2583,8279,5737,17356,f
201,438,0,1,9,2617,9210,5457,17936,f
325,361,0,1,10,2761,11209,9996,24668,f
12845,397,0,1,22,2454,11479,5483,32684,f
535,393,0,1,11,2614,13086,6658,23302,f
13199,450,0,1,14,3576,12431,6613,36288,f
9741,454,0,1,11,2964,14928,6839,34942,f
2119,471,0,1,52,2474,12670,6354,24144,f
93034,517,0,1,9,2268,16020,8154,120008,f
106649,496,0,1,9,2538,18923,7883,136504,f
83871,445,0,1,9,2389,17551,8202,112472,f
82852,364,0,1,19,2650,21872,8355,116117,f
106536,467,0,1,14,2372,20474,8787,138654,f
86146,553,0,1,15,2489,22080,8353,119641,f
106844,525,0,1,12,2038,21143,7475,138042,f
93445,430,0,1,15,2681,20626,8733,125935,f
92565,552,0,2,16,2494,24133,8811,128575,f
107960,432,0,1,9,2654,27417,7802,146279,f
99316,508,0,1,10,2352,23587,7961,133738,f
90854,411,0,2,12,2467,23138,9249,126135,f
113387,325,0,1,8,2611,23408,7840,147584,f
99698,469,0,1,11,2471,25527,8140,136321,f
115534,486,0,1,18,2588,25406,8783,152819,f
100117,425,0,1,18,2071,28190,9067,139894,f
81958,440,0,1,28,2436,28745,9079,122689,f
82898,446,0,1,11,2018,26436,9096,120910,f
82081,409,0,1,11,2491,27748,9301,122047,f
97602,413,0,6,10,2594,28810,9826,139264,f
108228,458,0,1,16,2474,26140,9192,146514,f
113184,321,0,1,11,2903,32344,8663,157430,f
81876,508,0,1,9,3011,29890,7495,122793,f
115112,487,0,1,12,5544,31150,13048,165357,f
91546,663,0,1,11,4948,30276,10598,138047,f
101588,436,0,1,15,2514,48755,33222,186535,f
99258,418,0,1,12,3230,51317,9345,163585,f
111823,422,0,1,11,2474,49004,10367,174105,f
99144,425,0,1,17,2413,48567,9704,160274,f
100265,425,0,1,10,2683,52198,9884,165470,f
120266,438,0,1,15,2037,53084,10134,185979,f
121626,442,0,1,11,2429,42776,10209,177497,f
114626,405,0,1,14,2412,45417,9673,172551,f
121683,352,0,0,8,2663,45194,32281,202184,f
95476,515,0,1,11,2532,66104,13229,177872,f
102023,431,0,1,12,2485,67057,11340,183354,f
137667,407,0,0,8,3269,143202,13014,297571,f
165895,490,0,0,8,4179,67732,34118,272426,f
88880,428,0,1,9,2439,50813,9303,151878,f
89524,424,0,6,19,2364,55772,9417,157530,f
140785,388,0,1,10,2556,52743,9829,206316,f
102387,326,0,1,10,2765,54790,10086,170368,f
96811,451,0,1,12,2507,60586,10522,170893,f
122365,426,0,1,9,1991,57906,9927,192628,f
92489,403,0,1,9,2411,55759,11343,162419,f
115748,397,0,1,15,3240,56399,11414,187219,f
110485,447,0,1,10,2377,56943,10443,180710,f
105004,473,0,1,12,2744,58929,12160,179326,f
126206,567,0,1,13,3343,57116,10347,197596,f
106778,459,0,1,12,3228,69405,10793,190680,f
107928,448,0,1,19,2175,60163,9830,180568,f
144940,422,0,1,11,2414,63225,10227,221243,f
108734,457,0,1,15,4050,64139,15352,192752,f
128611,512,0,1,12,2163,63390,11588,206282,f
110831,487,0,6,10,2381,61093,10033,184844,f
112396,521,0,1,10,2049,64717,11022,190719,f
108787,427,0,1,14,2453,69713,10955,192354,f
129962,519,0,1,8,2597,68779,12141,214010,f
111153,421,0,1,13,2609,65650,11659,191509,f
118300,479,0,1,11,1981,64465,12018,197258,f
117963,548,0,1,13,2123,68420,17681,206752,f
118188,514,0,1,12,2701,73585,11286,206291,f
123974,518,0,1,11,3941,86351,12219,227019,f
165182,462,0,1,14,2487,70011,26408,264570,f
116768,522,0,1,12,3417,84615,11800,217137,f
120445,464,0,1,17,3430,81424,12720,218505,f
123714,475,0,1,10,2015,69737,12107,208062,f
158348,571,0,1,10,2477,80319,12064,253793,f
8620,378,0,1,19,4122,24765,7446,45354,f
11576,517,0,1,14,2524,26608,6759,48001,f
11869,462,0,1,13,2403,26448,6399,47599,f
9585,394,0,1,19,2821,28836,7366,49026,f
26915,583,0,2,13,2653,33707,7428,71304,f
228,611,0,1,21,2488,10416,5889,19659,f
13049,552,0,2,17,2621,10255,6053,32552,f
1329,560,0,1,26,2732,9208,5274,19133,f
11395,452,0,1,9,2709,14343,6364,35276,f
2631,520,0,1,11,2077,12336,6305,23885,f
10396,522,0,1,26,3747,12276,6344,33316,f
10334,397,0,1,22,2842,12706,6269,32575,f
5309,341,0,1,27,2443,15502,5467,29094,f
10789,481,0,1,26,2553,13581,5472,32905,f
7005,450,0,1,20,2367,15739,5974,31560,f
16065,388,0,1,12,2554,19666,6088,44778,f
4930,421,0,1,10,2569,18606,6269,32809,f
12830,805,0,1,16,2746,16999,6439,39839,f
8871,458,0,1,9,2511,20776,7341,39970,f
5019,475,0,1,9,2036,21630,6708,35882,f
11825,441,0,6,8,2140,22375,6358,43157,f
7873,435,0,1,9,2396,20597,6569,37884,f
11541,406,0,1,8,2351,24122,6300,44732,f
5334,442,0,1,13,4008,25498,8034,43332,f
82592,473,0,1,9,2365,34619,7862,127924,f
91080,464,0,1,20,2359,35520,10181,139627,f
107782,265,0,1,9,2403,35390,7539,153393,f
88180,500,0,1,30,2037,38816,7659,137226,f
87575,1021,0,1,14,2345,35619,6238,132816,f
108186,437,0,1,25,2726,38648,8516,158543,f
15645,498,0,1,9,2475,31161,6422,56214,f
7820,468,0,1,11,2596,30631,8365,49896,f
14372,536,0,1,8,2524,30881,7922,56248,f
8584,455,0,1,21,2431,34149,7134,52778,f
13407,515,0,1,20,2579,34014,7884,58423,f
9619,394,0,1,9,2517,36961,6939,56443,f
14700,427,0,1,24,2492,34956,10182,62785,f
6134,379,0,1,9,2239,32944,7462,49171,f
14351,411,0,1,10,2778,38840,8305,64700,f
83087,479,0,1,30,2788,34238,8179,128805,f
83656,561,0,1,10,1974,34564,7731,128500,f
15686,525,0,1,9,2456,34909,7876,61467,f
83780,401,0,1,15,2364,37261,7851,131677,f
91326,488,0,1,14,2737,33121,7710,135400,f
92660,410,0,1,9,2416,37811,8692,142002,f
86073,536,0,1,23,2344,37484,8144,134607,f
