unzip_duration,decode_duration,cache_read_duration,randao_lock_1_duration,duties_lock_duration,checks_duration,randao_lock_2_duration,simulation_duration,redis_update_duration,submission_duration,optimistic_submission
17,109690,416,0,1,16,3205,27337,7614,148301,f
9,9235,324,0,1,13,3760,17624,6012,36981,f
28,523,423,0,1,13,4318,18493,6579,30382,f
8,118703,663,1,1,17,3539,21238,7384,151558,f
7,119015,531,1,1,14,2285,23995,9006,154858,f
7,68843,512,1,1,14,2458,19929,5530,97301,f
7,79594,429,0,1,13,2508,20788,7385,110730,f
7,108615,480,2,2,21,3602,25589,7990,146312,f
7,10034,464,1,2,27,2678,22443,6824,42484,f
5,10585,548,1,2,19,2903,22193,6396,42657,f
10,154587,259,0,5,8,2975,27053,7205,192106,f
6,8725,400,0,1,17,2335,25912,9030,46429,f
7,43246,405,0,1,13,2517,24159,8284,78638,f
5,155008,314,0,1,12,2459,26078,16478,200359,f
9,81608,270,0,1,10,2639,27166,9645,121352,f
5,258554,375,0,1,20,2676,33474,8950,304059,f
6,134979,291,0,1,18,2942,30542,9235,178018,f
7,115271,539,1,1,13,2791,30351,8414,157392,f
6,261846,395,0,1,57,3937,35479,11523,313247,f
8,125585,372,0,1,12,4719,29846,10299,170846,f
7,81902,292,0,1,9,2574,32332,9553,126673,f
6,207752,393,0,1,14,2499,41677,8186,260533,f
5,118481,427,1,2,44,3224,33357,9299,164843,f
5,87937,459,0,1,25,2681,32129,8672,131912,f
6,200294,599,1,2,29,2569,34566,12376,250444,f
8,118191,433,0,1,36,5089,32156,10470,166388,f
10,101698,383,0,1,15,3492,31079,63129,199809,f
15,163051,456,1,1,14,2760,36441,10038,212781,f
10,83624,318,0,1,14,2911,33794,8861,129537,f
5,80936,308,0,1,9,3046,32622,9322,126253,f
5,84004,361,0,1,13,2193,37627,8786,132993,f
7,83793,404,0,1,90,3024,36916,9577,133817,f
9,109837,471,0,1,16,2278,33136,10010,155761,f
6,83712,487,0,1,11,2543,36300,9910,132975,f
11,90850,310,0,1,15,2982,39271,9190,142632,f
52,199003,364,0,1,13,5729,37588,10096,252851,f
7,83710,409,0,1,16,3013,39635,11756,138550,f
7,81232,539,1,2,15,2735,40248,9999,134781,f
11,84956,426,0,1,17,2649,41272,9536,138871,f
6,85333,281,0,1,9,2488,40472,9551,138144,f
8,121197,466,1,1,18,2932,41999,10261,176887,f
5,192167,298,0,1,15,2909,49601,10494,255495,f
7,90707,260,0,1,17,2489,43447,27684,164615,f
6,86239,285,0,1,15,2770,43008,12232,144560,f
5,85161,368,0,1,15,2216,38650,8761,135182,f
6,86634,349,0,1,10,2770,42733,10190,142696,f
5,173164,318,0,0,15,2460,45220,8903,230089,f
7,85767,321,0,1,16,2939,44614,11243,144912,f
9,146236,253,0,1,9,3532,28546,15988,194578,f
46,132371,488,0,1,48,2703,24278,8856,168794,f
5,230162,535,0,1,15,3709,25449,33665,293545,f
6,85454,458,0,1,37,2300,24056,7501,119817,f
6,83535,384,0,1,15,2652,26073,8839,121509,f
7,84003,577,1,2,15,2772,25877,8884,122141,f
5,234006,618,1,2,31,2625,29492,9448,276232,f
7,12555,494,0,1,14,2546,11674,5844,33139,f
6,2909,470,0,1,21,2645,6418,5299,17773,f
6,263,483,0,1,28,2190,5808,4561,13344,f
7,291,532,0,1,11,2638,7342,5549,16374,f
6,31009,791,0,1,12,7068,11184,25123,75198,f
19,35645,818,0,1,12,3520,15412,22005,77436,f
5,46477,399,0,1,11,2792,13808,7413,70909,f
5,37735,481,0,1,11,2664,11598,6718,59216,f
6,104726,591,0,1,10,3174,15107,8182,131800,f
4,212001,585,1,2,14,2856,15448,8756,239671,f
8,176065,480,0,1,10,2474,17271,7875,204188,f
7,238422,387,0,1,12,3137,18075,8301,268348,f
7,121711,481,0,1,15,2723,18609,7418,150967,f
6,217954,446,0,1,10,2849,19013,8574,248857,f
7,107988,566,0,1,14,4756,20856,15214,149406,f
20,231293,410,0,1,11,2909,19755,8381,262784,f
5,221216,378,0,5,20,2565,18928,7905,251026,f
7,155137,398,0,1,12,2854,27021,7875,193310,f
6,158868,495,0,1,14,2640,25767,19589,207384,f
124,110953,415,0,1,26,3865,29449,24647,169483,f
5,84732,637,0,2,27,2684,25976,8458,122526,f
9,82806,381,0,1,11,2746,25554,8009,119522,f
6,83059,376,0,1,12,2586,25906,8288,120237,f
7,81709,461,0,1,30,2610,25835,9057,119714,f
8,161728,456,0,1,13,3131,30311,9026,204677,f
6,114958,444,0,1,10,2595,25399,7697,151114,f
5,84427,484,1,2,16,2702,29653,48954,166250,f
5,95424,531,0,2,25,2403,27488,12110,137993,f
6,83145,355,0,1,17,4653,27670,9295,125146,f
5,82999,380,1,2,37,2747,27651,9217,123042,f
6,83365,384,0,1,10,2483,29891,8309,124451,f
6,117695,460,0,9,13,2823,26691,7660,155362,f
8,83973,467,0,2,30,2051,25587,9531,121653,f
5,155370,523,1,1,15,2067,26096,9885,193966,f
5,159602,407,0,2,30,3102,27969,8744,199865,f
9,84583,443,0,2,9,2094,32856,7365,127366,f
5,88032,298,0,1,49,4164,88441,8960,189954,f
7,119301,475,0,1,28,2973,36339,55530,214659,f
6,190566,529,0,1,12,6028,27600,73069,297814,f
5,82900,410,0,1,11,3144,31544,9726,127746,f
6,87902,506,1,1,33,2584,28867,9362,129266,f
6,115000,512,1,2,14,2455,28684,9389,156066,f
5,84116,596,0,2,13,2705,30895,10103,128439,f
5,162380,464,1,1,12,2964,f
