received_at|value
2023-01-3112:49:59.541998|76723575223135287
2023-01-3114:46:11.776742|37941173933142042
2023-01-3116:40:59.103231|62657347020006143
2023-01-3117:41:24.015915|89659587269365590
2023-01-3119:04:23.702729|73593110219410519
2023-01-3119:53:35.841947|10070072987676220
2023-01-3122:34:59.425014|13545892414891775
2023-01-3122:35:48.008935|3867099006367397
2023-02-0101:03:59.725305|3671184829547873
2023-02-0102:47:22.765292|14081357937448242
2023-02-0103:18:11.517037|20721183824750069
2023-02-0104:05:00.385045|9633341097011220
2023-02-0105:17:35.766933|4189729568160240
2023-02-0105:57:23.725127|20684088477906636
2023-02-0106:19:24.415426|39425317362230594
2023-02-0106:35:11.72662|15848895287235818
2023-02-0106:56:59.486218|40299736000378628
2023-02-0109:03:35.805509|28107475748881984
2023-02-0110:27:11.506755|271586917336024540
2023-02-0110:56:35.822001|149380684599624031
2023-02-0110:57:11.712318|137651269872826601
2023-02-0111:00:36.251456|84696354324988490
2023-02-0111:23:59.66196|38768226549127158
2023-02-0112:07:34.882458|23007661581904756
2023-02-0114:25:47.499377|12134401935829884
2023-02-0115:47:23.768962|41623155645912050
2023-02-0116:37:47.284468|41900453703520220
2023-02-0205:12:47.775809|11803245065127894
2023-01-3121:34:34.194772|34849204142569440
2023-02-0205:44:23.434891|15449889601963333
2023-02-0207:06:47.274542|8737330532766819
2023-02-0207:15:59.50164|11428268586294794
2023-02-0208:25:32.506549|12290014261394924
2023-02-0208:26:47.766392|45436158924310272
2023-02-0211:09:23.634477|15895241650301646
2023-02-0211:23:59.922794|46462962278416855
2023-02-0211:26:00.030233|32388853167559536
2023-02-0212:40:11.850328|141673016385688731
2023-02-0202:53:11.282856|11996945762608298
2023-02-0213:33:47.703052|188731406857716566
2023-02-0214:34:47.359769|38747833873696490
2023-02-0123:31:36.290159|12593508746167232
2023-02-0215:56:11.704529|100678566010810414
2023-02-0301:57:43.166541|7020859204152165
2023-02-0220:11:47.173678|85148100887536176
2023-02-0300:37:47.819054|8471343924003868
2023-02-0301:17:36.12755|6376119995273275
2023-02-0302:51:35.872683|9321309666031782
2023-02-0304:57:23.236301|36409422307486289
2023-02-0303:57:47.821636|15456267533228377
2023-02-0305:41:47.717118|7757372792249725
2023-02-0306:58:47.685718|52635831837534056
2023-02-0306:00:11.857435|45075233629727473
2023-02-0306:09:47.58044|117141794911101920
2023-02-0306:22:58.805639|261334897978262948
2023-02-0309:22:35.797583|5829691571741266
2023-02-0204:05:06.130151|37912205415493186
2023-02-0310:29:59.995914|11241541230390317
2023-02-0311:53:11.819651|36325504822949029
2023-02-0311:01:00.462154|28755385905269123
2023-02-0311:14:59.347402|42996925661143608
2023-02-0311:21:11.045158|16061259405324914
2023-02-0313:20:23.133844|40150437101008192
2023-02-0314:06:12.205038|10685220521908665
2023-02-0316:20:11.824157|18593272452280815
2023-02-0314:42:35.706397|54248706618297593
2023-02-0318:49:23.921444|8297504574027436
2023-02-0319:49:36.201033|11322141540859610
2023-02-0322:17:23.473209|6318907595639427
2023-02-0323:05:39.314365|2460930173209286
2023-02-0321:39:11.282491|9485480555588525
2023-02-0323:11:35.944874|5585906473928969
2023-02-0323:25:47.685696|8155574257908778
2023-02-0400:03:59.474962|6446784350490885
2023-02-0400:04:35.676999|3191973344247693
2023-02-0400:06:35.993671|1816729252368078
2023-02-0402:43:47.991136|9731348976742276
2023-02-0400:10:11.846264|5077739884812061
2023-02-0400:48:00.061951|4650423934068165
2023-02-0401:19:46.567562|8151658796179248
2023-02-0403:17:11.915509|5594277203676249
2023-02-0403:32:09.861399|15080621571954098
2023-02-0403:37:23.559217|19196858517047141
2023-02-0403:51:35.416167|5148651663810099
2023-02-0403:55:11.103059|6521541972096072
2023-02-0406:19:34.880819|14209291830207437
2023-02-0408:14:11.494968|25699606592543916
2023-02-0411:49:11.850022|6582592644434149
2023-02-0407:19:48.006658|20186609980215473
2023-02-0407:30:11.957331|44123696120118645
2023-02-0407:51:23.574551|7081750851589132
2023-02-0410:13:23.979321|26843610313073481
2023-02-0410:43:47.77641|15238887667466355
2023-02-0411:57:11.798895|43331240134105208
2023-02-0412:29:23.602232|16131352700830849
2023-02-0308:27:46.77269|36217004140797795
2023-02-0412:43:38.422595|7969176314711940
2023-02-0414:28:47.829236|20290400660067262
2023-02-0413:17:12.008946|30595810388402185
2023-02-0413:56:23.888734|8968159184656951
2023-02-0415:18:24.113815|9298830155352558
2023-02-0413:56:59.897424|29242773762338329
2023-02-0417:24:11.605746|24301577989467204
2023-02-0416:06:00.068558|7689688937942943
2023-02-0417:44:36.000884|5340974175639053
2023-02-0421:23:48.074064|4816919336224579
2023-02-0416:49:23.229025|13855865623953240
2023-02-0418:56:11.635225|6295157526724470
2023-02-0419:00:11.704096|22155204913248838
2023-02-0419:00:59.663037|15115909672122891
2023-02-0419:49:47.488763|5484898319306422
2023-02-0421:55:35.706106|13184265117223678
2023-02-0422:01:59.717482|4697619714495082
2023-02-0423:47:47.610289|9996269142704702
2023-02-0501:02:11.793293|2776842886979726
2023-02-0422:18:23.634501|9101138772806091
2023-02-0422:51:35.67776|350290558476983452
2023-02-0423:12:35.783336|9317371128850645
2023-02-0423:25:11.672942|22282978186945396
2023-02-0423:37:11.571199|4152149565885011
2023-02-0423:38:48.243784|16772182581864854
2023-02-0503:35:59.620641|4984080343155254
2023-02-0501:42:22.548837|4241839841136975
2023-02-0501:46:22.878963|18151293976532869
2023-02-0501:47:48.013428|7257587528519040
2023-02-0503:43:47.726289|24169627073884141
2023-02-0502:42:47.087122|7726446903757289
2023-02-0504:02:11.557508|30901094716832898
2023-02-0504:32:12.150005|7778275893446538
2023-02-0506:59:11.802169|6787210903133755
2023-02-0505:32:23.933061|36177117764410093
2023-02-0508:07:23.796266|12103409651381636
2023-02-0505:54:57.507591|8333274671018113
2023-02-0510:21:47.984382|455395051133642180
2023-02-0510:46:23.362943|20643469822029830
2023-02-0509:22:11.803231|15835577834792189
2023-02-0511:51:35.959801|10029173826772316
2023-02-0512:40:24.031746|22488135624211445
2023-02-0512:42:47.097384|4966570609519633
2023-02-0512:54:11.524739|68970771291902422
2023-02-0513:57:11.820093|6411961860346486
2023-02-0411:14:23.828582|17832552368257337
2023-02-0514:05:35.541598|15101666309641032
2023-02-0514:06:12.281038|11098660255742762
2023-02-0514:13:24.271643|3368536411426145
2023-02-0514:37:59.606719|9184618398825392
2023-02-0514:55:46.95063|19061350224482719
2023-02-0509:47:47.992936|4612305177586967
2023-02-0519:18:47.707167|6774887558015691
2023-02-0510:17:47.538228|37905312944690642
2023-02-0517:21:47.775064|5222518385082640
2023-02-0517:22:35.821343|11006964695118861
2023-02-0517:25:35.537409|19339623145278024
2023-02-0519:53:23.521215|31659642907030150
2023-02-0520:28:23.351458|13394651068611809
2023-02-0518:16:59.59002|8586564929533310
2023-02-0523:14:11.819125|5837940060242697
2023-02-0521:01:35.135558|37453495964955921
2023-02-0521:09:35.537075|130274809817032547
2023-02-0521:13:59.67521|36948673004045462
2023-02-0521:17:11.028761|29140466742088568
2023-02-0523:24:47.997593|3151232597143341
2023-02-0523:28:35.078715|121420718867262191
2023-02-0523:40:10.128502|2209200223262677
2023-02-0521:35:34.434651|22388558685808708
2023-02-0600:09:59.510683|13079521009880850
2023-02-0521:42:59.164796|39176094973522586
2023-02-0522:01:11.527735|2793578757139420
2023-02-0601:52:12.199301|7307811294697301
2023-02-0602:16:12.004924|3444199828390454
2023-02-0600:36:36.263778|4074558842124821
2023-02-0602:16:24.142903|7416767073004206
2023-02-0602:35:23.501191|24091767753725584
2023-02-0602:56:23.812085|12173780363955370
