optimistic_submission|decode_duration|prechecks_duration|simulation_duration|redis_update_duration|total_duration|slot|block_hash
f|15282|1347|123823|337003|477456|5992388|0x4483a0a448083389c08c7065c4c304c1829ad59ebb27b4d2a4a5f510e56c5313
f|16669|1292|133594|6076|157633|5992388|0x4483a0a448083389c08c7065c4c304c1829ad59ebb27b4d2a4a5f510e56c5313
f|124986|1509|99491|7372|233360|5992410|0x9687c83ea8444907d12efd9efe2d1772b70e7ecb59ee41aba7d612762dfc72c0
f|9581|1291|89316|5942|106133|5992187|0xf19358e829a0bd231a45e47fdf66a64573c75bb849c70ef764b57c471e2b4fb5
f|7618|1631|69939|5873|85062|5992228|0x9f7b42578928ea022cad8cfee2d5814182a45670447055c9ba9cbb8ad24e9b61
f|132404|4218|162844|16591|316058|5992445|0x5704851afe073428fe269f96817659f6b0f3e6f9472f6679e288baee46cc41eb
f|13593|1439|110979|5501|131513|5992229|0xfe2250c53d105e6f12acf9fa45f6ceaa87f3167a301efdbbf9f8f0080bd7c495
f|107093|1865|125512|6046|240518|5992446|0xe24344bc9738a9c4e3815406cd867eb4b58ba3abcf49d870604a2f8b15910b1f
f|11135|2408|118731|7511|139785|5992240|0xfbeb26f3450a2f6421ad0385138e9a3ff760150436572699e522278b3d82a54c
f|15097|3100|131999|7856|158054|5992240|0xfbeb26f3450a2f6421ad0385138e9a3ff760150436572699e522278b3d82a54c
f|90865|3028|100385|6604|200883|5992188|0x9d4008e6922000d26a4c690de8a4ad989b916f40811070faf403e2e1db3206e7
f|8789|1741|167912|6465|184908|5992579|0xf146bef6fdb65b1c78a63dfa28344bbc8d72b1d7d144b8c7e67a82b9c7eece95
f|12264|1423|88255|19044|120988|5992190|0x6339f22bd451ed670644cfeff5502d9a8052520a2865c56ebd7dc35f090f42cd
f|15383|1656|151250|16017|184308|5992246|0x105e144937f521ea97ac30800e8b60f86a76ba1ef6a636bc8d41bba6b10de250
f|10498|1356|106873|14463|133192|5992582|0x0e31d4b372a4f1967242e68134eefeb75dacdb7cc6c154405af49e2216f3f553
f|20702|479106|219878|8332|728020|5992254|0x7fed0a6337800a62882ea988b136b87868a707a6c7d2f4827aabe80a22f330f6
f|10573|2102|131210|8006|151892|5992191|0xf950dc49936dc56d9755a9f324389ec776bb2d303f190351d130cefdc5d8d366
f|192487|1640|92496|0|0|5992633|0x0a76cbcfe6d2d0336d5cc91225d28a30391c01291527819e7e73bc269bffd9a5
f|10565|50909|173461|7241|242177|5992380|0x2c944ec782193bc3216a892ea4704ec0b41f3dd41704e4f5992ea35b459008be
f|97550|1364|105299|7145|211360|5992633|0x0a76cbcfe6d2d0336d5cc91225d28a30391c01291527819e7e73bc269bffd9a5
f|94004|1704|117491|6895|220094|5992267|0x2de3c03fc03a4305276c2dc4ebb9c076e5c3452ba28a000f97cb74d6b569a6fc
f|94656|4776|108019|45595|253047|5992770|0xab5341e8b1a51601162e1e7bb46d5b78bc1eb2196c0e2bbebdf6c9c1083b1671
f|12914|1897|113494|9096|137402|5992580|0xf7275078a7d8f08acd3b03f1f671ef75a934e0937daf73373a0b4ac30b5be8b0
f|12016|2758|126647|5266|146688|5992580|0xf7275078a7d8f08acd3b03f1f671ef75a934e0937daf73373a0b4ac30b5be8b0
f|116705|2131|200809|9360|329006|5992274|0x8e6799205e6e26b4061fc183b3e2bf3f6074d14c550366ba18a0339107a21113
f|16466|1880|116649|8822|143818|5992779|0x04faf0c6380598078501c9067b3dfc6a023d3e6c88b454f69de34b92340e68b0
f|9205|1681|103442|6055|120384|5992779|0x04faf0c6380598078501c9067b3dfc6a023d3e6c88b454f69de34b92340e68b0
f|8100|1533|229317|120440|359392|5992925|0x4bd949de02f50ea54207066153a3589fe98ac9b6047c788b0022bcd3aa1a63d4
f|16599|1520|122545|8891|149557|5992275|0x9aabfd6be7363bd93ea6794e6e63fb6a84869034dc0a625364bd26242aa8b18a
f|87471|1909|84947|6151|180480|5992581|0xe9c3ba051c6add4c07ecf3e3669bb6a1fcc8b227eacf0e1206a6eba008df2116
f|12280|3367|96418|6475|118542|5992998|0x64eb4acd8b073d7349d89a4b30f58b792b4af63d1b18bfbe268358d1e8d58275
f|7766|1379|110809|5652|125608|5992637|0x846747a102219ea58a5814d3a1ccc44df3ea629acfcc9428c1cb2b38dd4efb04
f|10819|1422|116548|6122|134912|5992637|0x846747a102219ea58a5814d3a1ccc44df3ea629acfcc9428c1cb2b38dd4efb04
f|116798|1745|156817|14718|290079|5992277|0x03f679cfc2bef07ea32dc810a438a5efe323ddb0eb08fe7deabb185a22984b88
f|11685|2173|98666|6545|119071|5992998|0x64eb4acd8b073d7349d89a4b30f58b792b4af63d1b18bfbe268358d1e8d58275
f|125205|1908|159002|11785|297901|5993074|0x2e9903ffcc8f771f624b2824e51234ed751c7ecaf1bb2dbe7df50207e5b2e3d4
f|19202|1970|86642|7855|115670|5992278|0x7c5f97c85a8cfdd429e9626730178805ba3c7788f7cb66d42761443ec55cc0a4
f|8323|1673|125672|4975|140645|5993669|0xd1dd1bee73b58be588f55cdf8bb529a4d958ed8a13bf25e7e7328b055f0daea9
f|11907|1637|168052|5774|187372|5993204|0x85fdef5cce177829020f16c4880968404d2336e7ba55c2769e0545b9ddd69595
f|120277|2629|168778|7997|299682|5992284|0x1cab49a082f932559bafda864693c43a7c808eaed53b74e2e688db6d582cd083
f|115311|4097|135604|59752|314765|5993504|0x5447abd5503fdffe310a0213176dc6709e3df51d7fdc0c629d31883e122c129b
f|145412|2274|170605|11339|329631|5992285|0xe6de6d0c77881f788ed0a54316260bb3c4d0ec4d26fd63709a016ef1e650a605
f|10784|1307|191555|9095|212741|5993800|0x52ff5bfd3a2702a7710f46e6e24043dccf9c00f6e7170f0e0dfa49ee31fc76e0
f|300695|5261|126252|0|0|5993504|0x5447abd5503fdffe310a0213176dc6709e3df51d7fdc0c629d31883e122c129b
f|11034|1829|115786|5266|133917|5993517|0xee24dc253b9208adda9ecdc2ef0e34349d2e48c36222c4115ec568dd5f5fa4cf
f|7289|1635|95507|5402|109834|5993815|0x73cb60982c9618a1f6c103dd5cafacd6ba608ef3f04b13ca9fd17e3df53563e4
f|92650|1797|114441|8060|216949|5992317|0x245af20290408b6cc176ff90339fa8e6a992717f0ef9a21e45c610536ce7be2e
f|102740|4621|70220|5895|183477|5992395|0xc70ae7ec2523a6c29dc01b40817764d6ebf125a25c5cd1110939404028407010
f|146851|1749|201914|8260|358776|5992344|0x52f3d072912f934d3b319d1986b0d53670cb843912ab3dc30a3b62938d1c2198
f|93952|2018|102862|6995|205829|5994467|0xe600e508c5bcb5f4d76a3e5a2c215047b2b226dc69c0a48ffdbd876788e55360
f|287490|1884|149525|24180|463080|5992399|0x5b7bed99ae1c45338515142a72bc3fb1627fbaa3e8e2ad9803ec1648fc929f57
f|14500|3956|115031|37111|170599|5994720|0x6948fa4046fcd6689b38b9493f65e9066f444bb1ba4bc42117eeaddc1a252396
f|14617|1558|101550|6759|124485|5992346|0xa9bb3a268436ec4e79e043813e53a7cb2e615f4f06d5d069154e63aedac46360
f|109172|2937|115645|5292|233049|5992459|0x06cd4d9815967bd5649cb2140231405f0f09cfecff45cda963ae1d4f1b5590d9
f|107993|1378|141286|9266|259925|5992294|0xb6138d982b8534e868164fbc2439b78090ed819596505b1252a691af5b002823
f|15212|3018|145817|6724|170774|5994768|0x53f9ab87f9ac1b787652e64049236a17fe70f9046f52138af0443811b24d15a5
f|9884|1519|86937|7194|105535|5992726|0x06febf3433a6ad90b2dbfcbc6e821154056c91f1a986d17abeec51ac84aa4c88
f|29494|4793|80286|40993|155567|5995328|0x473472748b91264dff3bd4b290245a74f2addb1877e73a05215d37b24b850609
f|90950|1700|90385|5540|188576|5992195|0x9a520574ce071b7e14723ee5e38bf4e62e9554cbd9558a48b3b043f6261eeb90
f|94846|1833|108900|17001|222582|5992297|0x832334c950a0795379dd28d2da4f296e1981cd310beeedb3674bcc788e00e2d1
f|21662|3865|101149|10026|136703|5992299|0x15e8b6aec3a96a32831f0fe0c57b92a0059d4f29714a7ed4ab4c79a532ae770e
f|92609|1469|110417|5969|210465|5992728|0x9091a8ff21f4feea74cb531ebfdd3f0743acf9e5545ee4404d78acca2a242e76
f|93224|3414|115197|6399|218236|5992301|0x10deb07abd98dd4f478672dc1d9273dc6e0651f8e8ac7320d1204c1556481440
f|25726|3805|116841|6251|152623|5992196|0xab3e4dc79c9dc8d6bf89fad0b28d8e28b391eaa14d163667d2122c48c048e658
f|16652|5400|223494|74233|319781|5992738|0x05ffaf36b4b064ee2cb9104f9613df95add42491d7e3e2aa3b2023bcef48803b
f|100419|1559|99597|6711|208288|5992209|0x9a0b8fb918ef8189ee7a1846fae777109f7c6ec7254f748182d564e26318fdd7
f|144329|2528|148850|8977|304686|5992214|0xf1083679f5868a9a5a9cada7b72c049c8d6e7d4000830ed0853d2a6649fca8d8
f|12983|1804|73577|21380|109745|5992218|0x91c319cf93c88414ecdf83f9e9b4d8187189f00badd8eb671595b49d05562d84
f|9623|1360|89828|5786|106599|5992302|0x17cc201859e114f1322cdd86c1e7b586b779d9d316820fdd68640bc17e05b10d
f|88556|5426|107136|9429|210549|5992311|0x67b4d304658390100f0965a61706d3b39595efbc2bbe20a524bfd35a015bbd07
f|144414|1430|104333|6324|256502|5992313|0xc0e040f864bedeec9802ffe01170dff92f4404bd789fd3b463f17665afe0e931
f|11519|4239|213311|58491|287561|5992738|0x05ffaf36b4b064ee2cb9104f9613df95add42491d7e3e2aa3b2023bcef48803b
f|10163|2012|91027|4937|108139|5992823|0x167c1e69962fd90cac8111a5748e4519236239422eeb64fc2e21cccbb9c021a9
f|114393|1744|126325|8668|251132|5992369|0xf127d0795ff2e1b2f4232db75902145d41426559128e67745c95a1b99da73351
f|135341|1448|104098|7441|248331|5992371|0x47e88a4d48d8839fed018a05ce8acbec051654fb16e4b2e009573dc37f602599
f|7989|1600|113223|6778|129591|5992372|0x897168adcf0d0f1f79cebb09f7856617eb7cd0005170685d512236b7804246d2
f|12032|1546|103252|6591|123422|5992372|0x897168adcf0d0f1f79cebb09f7856617eb7cd0005170685d512236b7804246d2
f|89026|4155|123566|238484|455232|5992219|0x7f3e8dd7def5d37351bc02e5edda0d4aa07e427db707c6a49086df2a6ee01270
f|85393|2322|99972|7355|195043|5992219|0x7f3e8dd7def5d37351bc02e5edda0d4aa07e427db707c6a49086df2a6ee01270
f|87655|1554|84573|329783|503566|5992219|0x7f3e8dd7def5d37351bc02e5edda0d4aa07e427db707c6a49086df2a6ee01270
f|83796|102109|271386|6989|464281|5992219|0x7f3e8dd7def5d37351bc02e5edda0d4aa07e427db707c6a49086df2a6ee01270
f|87205|74794|230854|5373|398227|5992219|0x7f3e8dd7def5d37351bc02e5edda0d4aa07e427db707c6a49086df2a6ee01270
f|106494|213900|101004|6359|427758|5992219|0x7f3e8dd7def5d37351bc02e5edda0d4aa07e427db707c6a49086df2a6ee01270
f|117259|1790|134643|49981|303675|5992226|0xeb36524c74172c25675c6310b208cf69800d11dde10613fe6844613cb513750f
f|21337|2418|116104|10746|150605|5992239|0xb25d937eae31cc2162baba52311bf2eefcfb22a6bc9deedfc3ee4ccf8440064d
f|98388|2296|107486|7425|215597|5992878|0x1106b027137ebb0cda5e53f60ae544664b3f73496a9331fe6ceff4a64df954ef
f|15213|1520|161486|7759|185979|5992247|0x53024931695b281b67046349b158cb919d11fc18279043b675db41ff8f179c0b
f|9575|2570|124643|6455|143245|5992447|0x8232cc901e020d54acd15b43ac13d4e94407e903d0d14dbf0e9b5fb256c23680
f|11124|1617|104289|5614|122645|5992891|0x283b1f5270a5da0e1f2cc7a9d61b8a7ae938546d4f6b3c9929bf9cd4283a5446
f|10840|110798|148332|5486|275458|5992467|0x7630b50dcc45374c1bbbb803ba04105d3dfcfdc29db5f3ee8cc49a4242e0d4e6
f|99814|133984|196172|5615|435587|5992473|0x99505042eb0cbfa4818803485ab8ffc403bc63f0f20d24fa207c4afc000079a2
f|103538|1586|141462|6781|253369|5992315|0xda9b9c2fc2270458d9a2e56456843231c9c00d72ca38c433daa8fe558c675072
f|108613|1289|119510|8165|237578|5992355|0x2e0e4d9dc33b8209196bd8b4cfe060095cda7eeaf3584eea9715c0c8e3124b11
f|142366|11899|163133|8363|325762|5992893|0xd00e3004e058939d19e163c747e8575e15f9a41a73c6194e2bcda9965a8d1b41
f|125451|1563|114193|13216|254426|5992359|0x521e739a6e10a16448273ba2dde35d5b36cda09cb61e770f465e6fc5fe12c7b5
f|11456|1670|76036|5063|94226|5992478|0xa92ca34c436654130d6257b199525522bdfd12fa4ff44ad0b0d76fdfef381427
f|110449|1784|188500|9148|309882|5992914|0x110ff927e1a9acb5b55069ffb1782bb174933aea3c1455b6f2ed9ba3e917e3cb
f|114069|1516|141449|6409|263444|5992483|0xb2dcae9e8ff3176d6dcd0ddae468ba26ea928361b6e875d584b79dca9a16f809
f|10666|9827|153859|11005|185359|5992927|0x64aa0a099f205799ef7bc5281977591257609bc8ceed8d3a3107e4bb3450ce75
f|158564|2133|111720|8491|280910|5992361|0x8f8aa370b8df964923efc16efb93b374b836934b22e9905d261d577481786c3f
f|9857|1837|83846|4726|100268|5992933|0xf1dced530e9a146f37435d6065ac85694ae8672ffbea40132a85769f85385540
f|14015|1471|118858|7169|141514|5992363|0xaa9972c9edc1fc38e7514a1d57c76999d62572d16f62f4f12c0632c2ac522eab
f|117572|2180|87825|12641|220219|5992401|0x5b50654abceaa847fd31f24ce6644737e0ad7c463f6d8c4cd2cb26026c953b8a
