optimistic_submission|decode_duration|prechecks_duration|simulation_duration|redis_update_duration|total_duration
f|405846|602814|890236|1702454|3601350
f|797038|309763|1288231|714995|3110028
f|605719|895151|299141|1899639|3699652
f|900908|1010939|691876|596738|3200462
f|1211691|790386|410057|500726|2912862
f|611957|798070|791770|304460|2506257
f|798581|901093|1095976|608926|3404576
f|810462|1196311|805075|495918|3307767
f|609951|691427|1104571|1201806|3607757
f|908143|893274|998380|712324|3512123
t|1221|2930|12|4345|8509
f|95940|2807|42896|15526|157171
t|4506|2594|20|6527|13648
t|5604|2981|12|7966|16564
f|16462|2974|39926|8486|67849
f|7745|2995|38997|8026|57765
t|2995|3466|15|10148|16626
f|12048|2992|41957|7272|64271
t|7797|2539|18|7123|17479
f|9675|2782|48445|10177|71081
t|5393|2683|23|7773|15874
f|40644|3226|51440|7353|102665
t|4573|3038|12|8195|15819
t|4778|2799|14|7338|14930
f|5730|2876|38677|7468|54753
t|7060|3693|19|25888|36662
t|6039|2891|16|7063|16010
f|76575|3205|39214|6303|125299
t|4527|2831|14|7462|14835
f|45760|2771|43302|6251|98086
t|6146|3003|21|8782|17953
f|26062|2939|39647|6787|75438
t|4767|3359|9|6854|14991
f|14640|4136|46258|6944|71978
t|7792|2774|16|6522|17106
f|14823|2822|53527|7003|78177
f|124615|2485|87527|16119|230747
t|112697|89496|11|3098238|3300443
f|208360|91336|100970|3406285|3806952
f|398650|202899|697831|2499046|3798428
t|6824|3242|5|7144|17217
t|5859|5735|10|10887|22493
f|33354|7497|63679|24172|128703
f|6629|3646|51403|12661|74341
t|7336|3228|4|7882|18451
f|15399|2793|58957|7576|84727
t|7784|3014|14|7890|18704
t|5921|2936|5|9139|18002
f|18314|2736|49822|7787|78659
f|31746|2873|50127|7914|92661
t|8172|2606|12|8573|19365
t|6345|2990|13|9594|18944
t|8268|2857|17|7860|19004
f|27863|2973|60786|7795|99419
f|30364|2650|55098|8233|96346
t|8547|2766|13|25661|36989
f|39705|3133|52852|6218|101909
t|5925|3073|13|8048|17060
t|9399|2884|12|8221|20518
f|13216|3138|62329|6897|85582
f|34914|3014|55431|7079|100440
t|6744|2823|13|7586|17166
f|14629|2595|58523|6770|82518
t|10486|3114|4|8086|21692
f|4271|2637|68474|9159|84542
f|5829|3182|61866|8655|79533
t|9500|2631|7|7593|19732
f|16092|2581|64047|13333|96054
f|6853|3106|57611|7890|75461
t|38191|2428|14|37166|77800
f|115045|2433|78268|86872|282619
f|204524|291373|301871|2896661|3694431
f|611756|901045|1094574|510742|3118119
f|907724|892837|805153|598298|3204014
f|103444|6067|90789|105055|305356
t|831|2629|13|4336|7811
t|955|2919|13|4131|8020
t|1044|2821|11|4147|8025
t|936|3127|8|5550|9622
t|50750|3494|17|6409|60671
t|10548|2582|12|6552|19696
t|12502|3517|16|7560|23596
f|884|3108|14328|7169|25490
t|806|2813|17|4427|8064
t|5235|3325|16|5390|13967
t|1282|2686|11|6627|10608
f|3772|3380|23249|5048|35451
t|1018|3149|3|5363|9536
t|3000|3401|15|6184|12602
t|2981|2856|15|5520|11374
t|4014|2878|21|5640|12555
f|1470|2678|23438|5460|33047
t|5324|2756|11|5168|13259
t|6348|2846|3|5778|14976
