received_at|slot|value|simulation_duration|total_duration
2023-03-1317:57:47.333238|5992187|70229119102985367|89316|106133
2023-03-1317:57:59.632535|5992188|70580172167174184|115616|216840
2023-03-1318:00:11.34348|5992199|53672696822958491|302882|337499
2023-03-1318:00:24.376344|5992200|49879544366730413|180899|206299
2023-03-1318:01:12.136757|5992204|92774592214806936|199228|243908
2023-03-1318:02:10.781628|5992209|76045016104626180|99597|208288
2023-03-1318:02:47.91224|5992212|170220383015705018|114175|256219
2023-03-1318:03:00.110536|5992213|136462261579479442|101000|202478
2023-03-1318:03:10.702944|5992214|2220009953160697972|148850|304686
2023-03-1318:03:23.875823|5992215|139471117169792608|144291|287839
2023-03-1318:03:23.7854|5992215|139471117169792608|165688|371157
2023-03-1318:03:36.299571|5992216|100917934950810432|94897|113583
2023-03-1318:04:00.254152|5992218|67056818563860347|146912|173307
2023-03-1318:04:10.665893|5992219|1823958410775744291|123566|455232
2023-03-1318:04:10.293792|5992219|1823958410775744291|99972|195043
2023-03-1318:04:10.625728|5992219|1823958410775744291|84573|503566
2023-03-1318:04:11.448692|5992219|1823958410775744291|271386|464281
2023-03-1318:04:10.93941|5992219|1823958410775744291|230854|398227
2023-03-1318:04:11.328463|5992219|1823958410775744291|101004|427758
2023-03-1318:05:35.294561|5992226|53593204732301221|88184|263966
2023-03-1318:05:47.83941|5992227|54878311801076523|161578|304592
2023-03-1318:05:59.44622|5992228|79992568250496936|102199|122057
2023-03-1318:06:11.47167|5992229|108612643903802367|100006|117986
2023-03-1318:06:36.396688|5992231|105194784873444143|129118|146326
2023-03-1318:06:47.253443|5992232|35662594886639528|128850|657602
2023-03-1318:07:36.153014|5992236|60370161433507547|169384|295561
2023-03-1318:07:47.563536|5992237|357229027889599306|133217|150230
2023-03-1318:08:00.220087|5992238|83575088772497882|86713|103189
2023-03-1318:08:11.718225|5992239|198118573151855586|213030|251965
2023-03-1318:08:23.632642|5992240|78247912691244100|117493|135888
2023-03-1318:09:23.948362|5992245|85994691660464201|143027|259908
2023-03-1318:09:35.690937|5992246|241770417659870826|240713|308157
2023-03-1318:09:48.225537|5992247|73220448952327167|149779|171151
2023-03-1318:10:00.400361|5992248|148026066808003818|186301|899496
2023-03-1318:10:12.503411|5992249|126281718555786105|137020|442102
2023-03-1318:11:10.830844|5992254|87520619776639312|514947|817411
2023-03-1318:11:11.477051|5992254|87520619776639312|519648|542646
2023-03-1318:11:10.580167|5992254|87520619776639312|438011|962484
2023-03-1318:11:10.400567|5992254|87520619776639312|457943|0
2023-03-1318:11:10.69585|5992254|87520619776639312|574558|925110
2023-03-1318:11:10.469046|5992254|87520619776639312|235086|773640
2023-03-1318:11:11.294429|5992254|87520619776639312|673025|704736
2023-03-1318:11:10.731867|5992254|87520619776639312|170354|430173
2023-03-1318:11:10.767281|5992254|87520619776639312|204179|473956
2023-03-1318:11:10.325563|5992254|87520619776639312|310346|0
2023-03-1318:11:10.632372|5992254|87520619776639312|493400|0
2023-03-1318:11:10.384365|5992254|87520619776639312|205547|731666
2023-03-1318:11:11.066986|5992254|87520619776639312|583301|693398
2023-03-1318:11:11.148616|5992254|87520619776639312|677976|714927
2023-03-1318:11:11.093664|5992254|87520619776639312|638198|916283
2023-03-1318:11:10.905718|5992254|87520619776639312|233983|333207
