received_at|inserted_at|value
2023-02-1620:40:24.842566|2023-02-1620:40:24.855916|3064134118970310
2023-02-1620:40:25.169057|2023-02-1620:40:25.182422|2292116934355174
2023-02-1620:40:25.495319|2023-02-1620:40:25.509207|3981380422497670
2023-02-1620:40:25.670816|2023-02-1620:40:25.699005|5063148959455718
2023-02-1620:40:26.159261|2023-02-1620:40:26.188086|5158384276627926
2023-02-1620:40:26.182846|2023-02-1620:40:26.211081|5965929376364686
2023-02-1620:40:26.680889|2023-02-1620:40:26.711373|6009158850241086
2023-02-1620:40:26.835042|2023-02-1620:40:26.868805|6905558980561086
2023-02-1620:40:27.18294|2023-02-1620:40:27.212145|18672916002495774
2023-02-1620:40:27.514294|2023-02-1620:40:27.550036|19569316132815774
2023-02-1620:40:28.185026|2023-02-1620:40:28.234031|19951081137233266
2023-02-1620:40:28.194459|2023-02-1620:40:28.232561|20006362490181074
2023-02-1620:40:28.681621|2023-02-1620:40:28.712086|20434565637233266
2023-02-1620:40:28.884064|2023-02-1620:40:28.922995|21330965767553266
2023-02-1620:40:29.187496|2023-02-1620:40:29.224258|20785848138097896
2023-02-1620:40:29.577276|2023-02-1620:40:29.61178|21713748268417896
2023-02-1620:40:29.68451|2023-02-1620:40:29.901497|20936860138097896
2023-02-1620:40:30.186945|2023-02-1620:40:30.221939|21404129638097896
2023-02-1620:40:30.263188|2023-02-1620:40:30.308984|22300529768417896
2023-02-1620:40:30.689955|2023-02-1620:40:30.730295|22898409491069896
2023-02-1620:40:30.975373|2023-02-1620:40:31.11221|24579366198476035
2023-02-1620:40:31.193796|2023-02-1620:40:31.303002|23764952191907035
2023-02-1620:40:31.697091|2023-02-1620:40:31.803583|28878854295488571
2023-02-1620:40:31.778349|2023-02-1620:40:31.921274|33842068160080091
2023-02-1620:40:32.227391|2023-02-1620:40:32.341233|33530478415497931
2023-02-1620:40:32.610815|2023-02-1620:40:32.764996|36673918608496375
2023-02-1620:40:32.797956|2023-02-1620:40:32.91253|35620874418209351
2023-02-1620:40:33.294314|2023-02-1620:40:33.409824|37030414581094759
2023-02-1620:40:33.447713|2023-02-1620:40:33.606893|38754625331348807
2023-02-1620:40:33.759016|2023-02-1620:40:33.881926|40144013388548887
2023-02-1620:40:34.154867|2023-02-1620:40:34.301156|40261391447616455
2023-02-1620:40:34.290216|2023-02-1620:40:34.437264|41641700698769959
2023-02-1620:40:34.291653|2023-02-1620:40:34.410829|40275368388548887
2023-02-1620:40:34.621064|2023-02-1620:40:34.766532|40337608947616455
2023-02-1620:40:34.764784|2023-02-1620:40:34.875412|40351585888548887
2023-02-1620:40:35.084608|2023-02-1620:40:35.231884|40427014947616455
2023-02-1620:40:35.126782|2023-02-1620:40:35.282201|41807324198769959
2023-02-1620:40:35.254147|2023-02-1620:40:35.373841|40440991888548887
2023-02-1620:40:35.552615|2023-02-1620:40:35.696738|40494613947616455
2023-02-1620:40:35.781286|2023-02-1620:40:35.898495|40508590888548887
2023-02-1620:40:35.969252|2023-02-1620:40:36.121538|41874923198769959
2023-02-1620:40:36.137038|2023-02-1620:40:36.28619|40584037947616455
2023-02-1620:40:36.256153|2023-02-1620:40:36.363812|40598014888548887
2023-02-1620:40:36.457719|2023-02-1620:40:36.604241|40748342298226639
