insertId,jsonPayload.blockHash,jsonPayload.builderEntry,jsonPayload.builderPubkey,jsonPayload.contentLength,jsonPayload.duration,jsonPayload.error,"jsonPayload.""gzip-req""",jsonPayload.level,jsonPayload.method,jsonPayload.mevBoostV,jsonPayload.msg,jsonPayload.numWaiting,jsonPayload.optBlocksInFlight,jsonPayload.parentHash,jsonPayload.profile,jsonPayload.proposerPubkey,jsonPayload.pubkey,jsonPayload.service,jsonPayload.slot,jsonPayload.tx,jsonPayload.ua,jsonPayload.value,jsonPayload.version,"labels.""compute.googleapis.com/resource_name""","labels.""k8s-pod/app""","labels.""k8s-pod/pod-template-hash""","labels.""k8s-pod/project""",logName,receiveLocation,receiveTimestamp,receivedLocation,resource.labels.cluster_name,resource.labels.container_name,resource.labels.location,resource.labels.namespace_name,resource.labels.pod_name,resource.labels.project_id,resource.type,severity,timestamp
xgh77v0tplpzq928,0x1be4076fcdf6692bcc25476c9fff68da0f5645ab0db878bda0a609d90f39e5ad,,,,,,,info,getHeader,-,bid delivered,,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,relay/api,6097258,,Go-http-client/2.0,88317416673577620,,gke-midori-olympic-pool-51363abb-2o8m,proposer-api,78c4486fb8,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:12:11.522446358Z,,midori,proposer-api,europe-west1-b,default,proposer-api-78c4486fb8-qblzz,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:12:09Z
mv3ixuee7li7nsw6,0x1be4076fcdf6692bcc25476c9fff68da0f5645ab0db878bda0a609d90f39e5ad,,,,,,,info,getHeader,-,bid delivered,,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,relay/api,6097258,,Go-http-client/2.0,88317416673577620,,gke-midori-olympic-pool-51363abb-2o8m,proposer-api,78c4486fb8,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:12:11.522446358Z,,midori,proposer-api,europe-west1-b,default,proposer-api-78c4486fb8-qblzz,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:12:09Z
b0d6osjd1pc7p8by,0x1be4076fcdf6692bcc25476c9fff68da0f5645ab0db878bda0a609d90f39e5ad,,,,,,,info,getHeader,-,bid delivered,,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,relay/api,6097258,,Go-http-client/2.0,88317416673577620,,gke-midori-olympic-pool-51363abb-2o8m,proposer-api,78c4486fb8,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:12:11.522446358Z,,midori,proposer-api,europe-west1-b,default,proposer-api-78c4486fb8-qblzz,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:12:09Z
46erkii6l8nxz46v,0x1be4076fcdf6692bcc25476c9fff68da0f5645ab0db878bda0a609d90f39e5ad,,,,,,,info,getHeader,-,bid delivered,,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,relay/api,6097258,,Go-http-client/2.0,88317416673577620,,gke-midori-olympic-pool-51363abb-d2dh,proposer-api,78c4486fb8,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:12:13.093410443Z,,midori,proposer-api,europe-west1-b,default,proposer-api-78c4486fb8-xxbhn,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:12:09Z
1xkptwdgeis2uylt,0x1be4076fcdf6692bcc25476c9fff68da0f5645ab0db878bda0a609d90f39e5ad,,,,,,,info,getHeader,-,bid delivered,,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,relay/api,6097258,,Go-http-client/2.0,88317416673577620,,gke-midori-olympic-pool-51363abb-d2dh,proposer-api,78c4486fb8,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:12:13.093410443Z,,midori,proposer-api,europe-west1-b,default,proposer-api-78c4486fb8-xxbhn,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:12:09Z
h2t292jbq1w4nrzt,0x1be4076fcdf6692bcc25476c9fff68da0f5645ab0db878bda0a609d90f39e5ad,,,,,,,info,getHeader,-,bid delivered,,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,relay/api,6097258,,Go-http-client/2.0,88317416673577620,,gke-midori-olympic-pool-51363abb-d2dh,proposer-api,78c4486fb8,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:12:08.061297732Z,,midori,proposer-api,europe-west1-b,default,proposer-api-78c4486fb8-xxbhn,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:12:06Z
aasxoopzz693lwt9,0x1be4076fcdf6692bcc25476c9fff68da0f5645ab0db878bda0a609d90f39e5ad,,,,,,,info,getHeader,-,bid delivered,,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,relay/api,6097258,,node-fetch/1.0 (+https://github.com/bitinn/node-fetch),88317416673577620,,gke-midori-olympic-pool-51363abb-8l9o,proposer-api,78c4486fb8,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:12:07.986987230Z,,midori,proposer-api,europe-west1-b,default,proposer-api-78c4486fb8-7tjwc,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:12:05Z
uvy5yk39e44hyhrp,0x1be4076fcdf6692bcc25476c9fff68da0f5645ab0db878bda0a609d90f39e5ad,,,,,,,info,getHeader,-,bid delivered,,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,relay/api,6097258,,node-fetch/1.0 (+https://github.com/bitinn/node-fetch),88317416673577620,,gke-midori-olympic-pool-51363abb-d2dh,proposer-api,78c4486fb8,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:12:08.061297732Z,,midori,proposer-api,europe-west1-b,default,proposer-api-78c4486fb8-xxbhn,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:12:04Z
4ni69l2nxvl6a7f5,0x1be4076fcdf6692bcc25476c9fff68da0f5645ab0db878bda0a609d90f39e5ad,,,,,,,info,getHeader,-,bid delivered,,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,relay/api,6097258,,node-fetch/1.0 (+https://github.com/bitinn/node-fetch),88317416673577620,,gke-midori-olympic-pool-51363abb-2o8m,proposer-api,78c4486fb8,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:12:06.490680933Z,,midori,proposer-api,europe-west1-b,default,proposer-api-78c4486fb8-qblzz,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:12:04Z
v9szlpq42dbj3wg5,0x1be4076fcdf6692bcc25476c9fff68da0f5645ab0db878bda0a609d90f39e5ad,,,,,,,info,getHeader,-,bid delivered,,,0xff540a481885da0916af298748638eb6e5e72ad24fed69ffe93cb434bc690dcd,,,0x92d96433dc038c9e16118e4fdf784d9c789318df0cfd7773ef4f6cfad7e82189462ac448f378f7c273a58ab3f468bf0b,relay/api,6097258,,node-fetch/1.0 (+https://github.com/bitinn/node-fetch),88317416673577620,,gke-midori-olympic-pool-51363abb-8l9o,proposer-api,78c4486fb8,relay,projects/ultra-sound-relay/logs/stdout,,2023-03-28T08:12:07.986987230Z,,midori,proposer-api,europe-west1-b,default,proposer-api-78c4486fb8-7tjwc,ultra-sound-relay,k8s_container,INFO,2023-03-28T08:12:03Z
